trade_date,trade_time,open,high,low,close,volume,prev_daily_high,signal,breakout_count,forward_1,forward_3,forward_6
2009-12-22,12:00:00,1.0469,1.0501,1.0455,1.0484,9480,1.048,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.07630675314764516,0.03815337657382258,-0.524608927890124
2009-12-30,00:00:00,1.0366,1.0391,1.0363,1.039,4369,1.0384,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.13474494706447027,0.00962463907603359,-0.4523580365736214
2010-01-06,04:00:00,1.0331,1.0378,1.0329,1.0363,5664,1.0358,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.42458747466949337,-0.7719772266718139,-0.5789829200038604
2010-01-14,12:00:00,1.0199,1.0226,1.0187,1.022,11757,1.0217,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.4403131115459832,0.08806262230918795,0.30332681017611357
2010-01-15,08:00:00,1.0232,1.0267,1.0232,1.0265,10454,1.0232,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.13638577691184295,-0.1266439357038557,-0.06819288845591065
2010-01-19,08:00:00,1.0244,1.0323,1.023,1.0321,11397,1.0289,BULLISH_DAILY_HIGH_BREAKOUT,1,0.09688983625616605,0.03875593450246642,0.8526305590543473
2010-01-20,00:00:00,1.0326,1.0388,1.0323,1.0371,10138,1.0353,BULLISH_DAILY_HIGH_BREAKOUT,1,0.0674959020345333,0.6653167486259887,0.800308552695034
2010-01-21,08:00:00,1.0435,1.0493,1.0434,1.0485,11917,1.0461,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.41010968049594376,-0.5722460658082981,-0.8774439675727321
2010-01-26,04:00:00,1.0405,1.0451,1.0397,1.0441,10305,1.0422,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.07662101331291389,0.10535389330522736,0.19155253328225283
2010-01-28,12:00:00,1.0517,1.0534,1.0499,1.0529,11076,1.0523,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.1614588279988636,-0.0664830468230528,0.1234685155285477
2010-01-29,16:00:00,1.0543,1.064,1.0524,1.06,14638,1.0553,BULLISH_DAILY_HIGH_BREAKOUT,1,0.037735849056599616,0.047169811320749516,-0.21698113207546874
2010-02-04,08:00:00,1.0599,1.0631,1.0594,1.061,10925,1.0599,BULLISH_DAILY_HIGH_BREAKOUT,1,0.10367577756834129,0.5372290292177228,1.1404335532516494
2010-02-05,00:00:00,1.0667,1.0746,1.0646,1.0745,7926,1.0674,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.13959981386692014,-0.018613308515586596,0.14890646812471342
2010-02-11,12:00:00,1.0667,1.0749,1.0666,1.0738,13686,1.0719,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.2235053082510877,-0.1955671447196862,0.1583162600111578
2010-02-12,08:00:00,1.0707,1.0821,1.0707,1.0802,12222,1.0781,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.4351046102573735,-0.44436215515646527,-0.3425291612664355
