trade_date,trade_time,open,high,low,close,volume,prev_daily_low,signal,breakout_count,forward_1,forward_3,forward_6
2009-12-23,12:00:00,1.0461,1.047,1.0411,1.0429,9510,1.0442,BEARISH_DAILY_LOW_BREAKOUT,1,-0.4986096461789119,-0.4698437050532078,-0.4986096461789119
2009-12-24,08:00:00,1.0382,1.0386,1.0339,1.0351,6275,1.0359,BEARISH_DAILY_LOW_BREAKOUT,1,0.2511834605352293,-0.009660902328276398,-0.11593082793931678
2009-12-29,08:00:00,1.0346,1.0346,1.0291,1.0318,8640,1.0327,BEARISH_DAILY_LOW_BREAKOUT,1,-0.04845900368287894,0.4652064353556809,0.45551463461910513
2009-12-31,00:00:00,1.0363,1.0364,1.034,1.0343,3247,1.035,BEARISH_DAILY_LOW_BREAKOUT,1,-0.5027554868026775,-0.13535724644687885,0.251377743401328
2010-01-08,16:00:00,1.0307,1.0345,1.0215,1.0226,12387,1.0243,BEARISH_DAILY_LOW_BREAKOUT,1,0.0880109524740977,-0.49872873068647394,-0.7236456092313566
2010-01-11,00:00:00,1.0239,1.0239,1.0153,1.0153,8382,1.0215,BEARISH_DAILY_LOW_BREAKOUT,1,0.21668472372697525,0.11819166748742911,0.19698611247907036
2010-01-22,08:00:00,1.0415,1.0418,1.0375,1.0393,11296,1.0403,BEARISH_DAILY_LOW_BREAKOUT,1,0.21168093909364016,0.1828153564899464,-0.2213027999615096
2010-01-25,08:00:00,1.0398,1.0422,1.0368,1.037,9849,1.0375,BEARISH_DAILY_LOW_BREAKOUT,1,0.3471552555448455,0.25072324011573366,0.6075216972034689
2010-02-02,16:00:00,1.0555,1.0568,1.0541,1.0546,11006,1.0553,BEARISH_DAILY_LOW_BREAKOUT,1,0.03792907263416992,0.11378721790253081,0.35084392186611385
2010-02-03,08:00:00,1.0558,1.0558,1.0498,1.0524,11037,1.0541,BEARISH_DAILY_LOW_BREAKOUT,1,0.39908779931584776,0.5796275180539714,0.8171797795514958
2010-02-09,12:00:00,1.0691,1.0703,1.0654,1.0676,11113,1.0683,BEARISH_DAILY_LOW_BREAKOUT,1,-0.2622705133008744,-0.14986886474335384,-0.04683402023231238
2010-02-16,04:00:00,1.0757,1.076,1.0734,1.0741,6936,1.0753,BEARISH_DAILY_LOW_BREAKOUT,1,0.027930360301644815,-0.7354994879433961,-0.6237780467368168
2010-02-22,00:00:00,1.0767,1.0771,1.0739,1.0744,6338,1.0749,BEARISH_DAILY_LOW_BREAKOUT,1,0.11169024571852829,0.13961280714818103,0.03723008190617609
2010-02-26,00:00:00,1.0807,1.0815,1.0764,1.0777,6997,1.0783,BEARISH_DAILY_LOW_BREAKOUT,1,0.027837060406418014,-0.04639510067738396,-0.25053354365780334
2010-03-03,00:00:00,1.0752,1.0753,1.0721,1.0729,6971,1.0742,BEARISH_DAILY_LOW_BREAKOUT,1,0.03728213253797707,-0.09320533134494266,-0.4473855904557662
2010-03-08,00:00:00,1.0724,1.0739,1.0688,1.0693,4490,1.0734,BEARISH_DAILY_LOW_BREAKOUT,1,0.02805573739831563,0.03740764986441392,0.4488917983727801
2010-03-10,16:00:00,1.0737,1.0737,1.0684,1.0709,8582,1.0726,BEARISH_DAILY_LOW_BREAKOUT,1,-0.09337940050423849,0.04668970025211924,-0.1307311607059546
2010-03-12,04:00:00,1.0687,1.0687,1.0663,1.0664,3632,1.0681,BEARISH_DAILY_LOW_BREAKOUT,1,-0.6282820705176227,-0.7126781695423904,-0.7126781695423904
2010-03-16,12:00:00,1.0605,1.0605,1.0546,1.0553,8593,1.0578,BEARISH_DAILY_LOW_BREAKOUT,1,-0.009475978394768216,-0.01895195678953643,-0.12318771913198683
2010-03-17,08:00:00,1.0535,1.0542,1.0512,1.052,9307,1.0533,BEARISH_DAILY_LOW_BREAKOUT,1,0.1901140684410648,0.2091254752851692,0.5418250950570379
2010-03-26,12:00:00,1.069,1.0702,1.0635,1.0657,10939,1.0673,BEARISH_DAILY_LOW_BREAKOUT,1,0.09383503800318005,0.19705357980669894,-0.1126020456038369
