trade_date,trade_time,open,high,low,close,volume,prev_daily_high,prev_daily_low,signal,forward_1,forward_3,forward_6
2009-12-22,16:00:00,1.0485,1.0499,1.0468,1.0476,9022,1.048,1.0393,BEARISH_SWEEP,0.03818251240931232,0.09545628102328081,-0.945017182130586
2009-12-24,12:00:00,1.035,1.0382,1.032,1.0377,6916,1.0496,1.0359,BULLISH_SWEEP,0.08673026886382393,-0.21200732388936874,-0.33728437891491364
2009-12-29,16:00:00,1.0314,1.0384,1.0312,1.0367,8860,1.0387,1.0327,BULLISH_SWEEP,-0.009645992090285424,0.08681392881259023,-0.038583968361141696
2009-12-30,04:00:00,1.039,1.0393,1.0371,1.0376,4761,1.0384,1.0278,BEARISH_SWEEP,-0.10601387818042607,-0.12528912875868145,-0.8191981495759612
2009-12-30,16:00:00,1.0391,1.042,1.035,1.0363,8918,1.0384,1.0278,BEARISH_SWEEP,0.0,-0.6947795040046411,-0.17369487600116026
2010-01-04,00:00:00,1.0346,1.0395,1.034,1.0368,7713,1.0383,1.0284,BEARISH_SWEEP,0.009645061728394,-0.6847993827160382,-0.7716049382716057
2010-01-04,08:00:00,1.0369,1.0418,1.0327,1.035,11432,1.0383,1.0284,BEARISH_SWEEP,-0.5120772946859768,-0.4927536231883945,-0.5410628019323506
2010-01-04,12:00:00,1.035,1.035,1.0283,1.0297,11547,1.0383,1.0284,BULLISH_SWEEP,-0.02913469942701437,-0.08740409828106466,0.16509663008643632
2010-01-04,16:00:00,1.0297,1.0314,1.0262,1.0294,9642,1.0383,1.0284,BULLISH_SWEEP,0.04857198367980813,-0.30114629881485355,0.5051486302700476
2010-01-04,20:00:00,1.0294,1.0303,1.0283,1.0299,5064,1.0383,1.0284,BULLISH_SWEEP,-0.1068064860666182,-0.04854840275754393,0.36896786095737694
2010-01-05,04:00:00,1.0288,1.0295,1.0256,1.0263,7733,1.0418,1.0262,BULLISH_SWEEP,0.30205592906558537,0.8087303907239574,0.9743739647276632
2010-01-05,08:00:00,1.0262,1.0312,1.0252,1.0294,11633,1.0418,1.0262,BULLISH_SWEEP,0.1942879347192541,0.417719059646393,0.24285991839906224
2010-01-06,08:00:00,1.0363,1.0375,1.0319,1.0319,11163,1.0358,1.0252,BEARISH_SWEEP,0.07752689214070277,-0.37794359918596904,0.05814516910552707
2010-01-06,20:00:00,1.0282,1.0282,1.0248,1.028,6358,1.0358,1.0252,BULLISH_SWEEP,0.009727626459142897,0.4377431906614736,0.6614785992217818
2010-01-07,00:00:00,1.028,1.0287,1.0243,1.0281,6593,1.0378,1.0248,BULLISH_SWEEP,0.21398696624841743,0.5836008170411444,0.6419608987452524
2010-01-08,12:00:00,1.0357,1.0383,1.0262,1.0308,13318,1.0369,1.0243,BEARISH_SWEEP,-0.7954986418315857,-1.5036864571206683,-1.3872720217306926
2010-01-13,08:00:00,1.0171,1.0217,1.0162,1.0176,10492,1.0207,1.0145,BEARISH_SWEEP,-0.13757861635220792,0.1179245283018738,0.22602201257861326
2010-01-13,12:00:00,1.0177,1.0178,1.0137,1.0162,11169,1.0207,1.0145,BULLISH_SWEEP,0.1771304861247809,0.0,0.5707537886242893
2010-01-13,16:00:00,1.0161,1.0211,1.016,1.018,11879,1.0207,1.0145,BEARISH_SWEEP,0.07858546168957876,-0.08840864440079793,-0.049115913555986726
2010-01-14,16:00:00,1.0221,1.0232,1.0169,1.0175,11427,1.0217,1.0137,BEARISH_SWEEP,0.0884520884520787,0.5601965601965639,0.8943488943488832
2010-01-15,00:00:00,1.0185,1.0248,1.0179,1.0229,7729,1.0232,1.0159,BEARISH_SWEEP,0.029328380095824523,0.21507478736924232,0.5181347150259148
2010-01-18,00:00:00,1.0279,1.0287,1.0262,1.0282,6772,1.0285,1.0179,BEARISH_SWEEP,-0.18478895156584446,-0.31122349737406063,-0.37930363742462697
2010-01-18,04:00:00,1.0282,1.0289,1.0257,1.0263,7359,1.0285,1.0179,BEARISH_SWEEP,-0.048718698236377755,-0.24359349118191045,-0.1851310532982571
2010-01-19,00:00:00,1.0247,1.0248,1.0227,1.0243,7139,1.0289,1.0235,BULLISH_SWEEP,0.009762764814994532,0.8591233037196055,1.2496338963194302
2010-01-19,08:00:00,1.0244,1.0323,1.023,1.0321,11397,1.0289,1.0235,BULLISH_SWEEP,0.09688983625616605,0.03875593450246642,0.8526305590543473
2010-01-21,00:00:00,1.0437,1.0464,1.042,1.0454,8260,1.0461,1.0323,BEARISH_SWEEP,-0.17218289649895002,-0.11478859766597377,-0.4591543906638738
2010-01-21,12:00:00,1.0486,1.0487,1.0433,1.0442,12444,1.0461,1.0323,BEARISH_SWEEP,-0.3064547021643451,-0.34476153993488295,-0.25857115495115157
2010-01-21,16:00:00,1.0441,1.0481,1.0403,1.041,16108,1.0461,1.0323,BEARISH_SWEEP,0.14409221902017838,0.03842459173872988,0.0960614793467927
2010-01-22,00:00:00,1.0425,1.0437,1.0396,1.0406,9110,1.0493,1.0403,BULLISH_SWEEP,0.07687872381319757,0.08648856428984461,-0.12492792619643273
2010-01-22,04:00:00,1.0405,1.0416,1.04,1.0414,6643,1.0493,1.0403,BULLISH_SWEEP,-0.20165162281546117,0.057614749375833864,-0.16324178989821728
2010-01-22,12:00:00,1.0392,1.0427,1.039,1.0415,12775,1.0493,1.0403,BULLISH_SWEEP,0.04800768122899134,-0.21123379740760456,-0.08641382621220574
2010-01-22,16:00:00,1.0416,1.0442,1.0378,1.042,14109,1.0493,1.0403,BULLISH_SWEEP,-0.07677543186181707,-0.22072936660268414,-0.21113243761995965
2010-01-25,12:00:00,1.0369,1.0422,1.0367,1.0406,10239,1.0442,1.0375,BULLISH_SWEEP,-0.07687872381317624,-0.01921968095329406,0.6150297905054739
2010-01-27,08:00:00,1.0462,1.0502,1.0449,1.0468,11456,1.049,1.0378,BEARISH_SWEEP,0.019105846388992927,0.21016431027894344,0.46809323653039037
2010-01-27,16:00:00,1.0471,1.0494,1.0467,1.0487,12932,1.049,1.0378,BEARISH_SWEEP,0.028606846571943068,0.15256984838371754,0.23839038809954677
2010-01-28,00:00:00,1.0491,1.0553,1.0491,1.0515,9730,1.0523,1.0446,BEARISH_SWEEP,-0.11412268188303279,0.13314312886351362,0.06657156443175681
2010-01-28,16:00:00,1.053,1.0542,1.0505,1.0512,13312,1.0523,1.0446,BEARISH_SWEEP,0.11415525114156107,0.04756468797566277,0.8371385083713986
2010-02-02,08:00:00,1.0573,1.059,1.0551,1.0561,11090,1.0621,1.0553,BULLISH_SWEEP,-0.04734400151500283,-0.10415680333302726,-0.350345611211063
2010-02-02,12:00:00,1.0561,1.0574,1.0552,1.0556,10189,1.0621,1.0553,BULLISH_SWEEP,-0.09473285335355361,0.02841985600605977,0.09473285335353257
2010-02-03,12:00:00,1.0523,1.0571,1.0513,1.0566,11160,1.0605,1.0541,BULLISH_SWEEP,0.1608934317622596,0.2176793488548144,0.5205375733484819
2010-02-04,00:00:00,1.0586,1.06,1.0579,1.0589,6599,1.0599,1.0498,BEARISH_SWEEP,0.09443762394939201,0.3022003966380293,1.4732269336103558
2010-02-09,08:00:00,1.069,1.0702,1.0675,1.0691,10627,1.0772,1.0683,BULLISH_SWEEP,-0.14030492937983677,-0.46768309793283075,-0.5705733794780652
2010-02-11,16:00:00,1.0739,1.0781,1.071,1.0714,13460,1.0719,1.0617,BEARISH_SWEEP,-0.08400224005972567,-0.05600149337315045,0.6906850849356052
2010-02-12,12:00:00,1.0803,1.0826,1.0749,1.0755,13158,1.0781,1.0626,BEARISH_SWEEP,0.3068340306834106,0.17666201766620296,0.2138540213854199
2010-02-12,20:00:00,1.0788,1.0789,1.075,1.0754,5530,1.0781,1.0626,BEARISH_SWEEP,0.1859773107680865,0.10228752092245685,0.1859773107680865
2010-02-17,04:00:00,1.0661,1.0675,1.0649,1.0674,5825,1.0787,1.0652,BULLISH_SWEEP,0.14052838673412563,0.9649615889076446,1.0305415027168936
2010-02-17,08:00:00,1.0675,1.0689,1.0646,1.0689,10038,1.0787,1.0652,BULLISH_SWEEP,0.25259612685940186,0.8700533258490118,0.9448966226962295
2010-02-17,16:00:00,1.0716,1.0791,1.0711,1.0777,12708,1.0787,1.0652,BEARISH_SWEEP,0.046395100677363355,0.06495314094830869,-0.05567412081285663
2010-02-17,20:00:00,1.0778,1.0796,1.077,1.0782,7872,1.0787,1.0652,BEARISH_SWEEP,0.20404377666480983,0.07419773696901427,0.7419773696902251
2010-02-18,04:00:00,1.0804,1.0806,1.0779,1.0784,6069,1.0796,1.0646,BEARISH_SWEEP,0.055637982195839576,-0.12054896142433966,0.908753709198816
2010-02-18,08:00:00,1.0784,1.0824,1.0782,1.079,11385,1.0796,1.0646,BEARISH_SWEEP,-0.2502316960148216,0.6672845227062183,0.6487488415199367
2010-02-18,12:00:00,1.079,1.0816,1.0748,1.0763,11665,1.0796,1.0646,BEARISH_SWEEP,0.07432871875870221,0.9662733438632319,0.7897426368112935
2010-02-18,16:00:00,1.0762,1.0812,1.0758,1.0771,11884,1.0796,1.0646,BEARISH_SWEEP,0.8448612013740701,1.0305449818958416,0.074273512208721
2010-02-19,08:00:00,1.0882,1.0897,1.0841,1.086,11087,1.0863,1.0748,BEARISH_SWEEP,-0.11049723756906904,-0.9668508287292978,-0.9116022099447532
2010-02-19,12:00:00,1.086,1.0864,1.0819,1.0848,10679,1.0863,1.0748,BEARISH_SWEEP,-0.6360619469026463,-0.9587020648967518,-0.8204277286135607
2010-02-22,04:00:00,1.0743,1.0758,1.0738,1.0756,5595,1.0897,1.0749,BULLISH_SWEEP,0.04648568240983331,0.14875418371142116,0.02789140944590824
2010-02-22,08:00:00,1.0757,1.0776,1.0743,1.0761,9346,1.0897,1.0749,BULLISH_SWEEP,-0.018585633305452834,-0.04646408326365272,0.14868506644364332
2010-02-22,12:00:00,1.0762,1.0778,1.0744,1.0759,10740,1.0897,1.0749,BULLISH_SWEEP,0.12082907333393965,-0.1022399851287388,0.4647272051305784
2010-02-22,20:00:00,1.0772,1.0772,1.0748,1.0756,6300,1.0897,1.0749,BULLISH_SWEEP,-0.07437709185570025,0.19523986612125446,0.7158795091111976
2010-02-23,04:00:00,1.0747,1.0772,1.0733,1.0759,7163,1.0787,1.0738,BULLISH_SWEEP,0.16730179384701402,0.6227344548749817,0.511199925643632
2010-02-23,08:00:00,1.0759,1.0778,1.0714,1.0777,12827,1.0787,1.0738,BULLISH_SWEEP,0.2969286443351461,0.5196251275865107,0.2226964832513647
2010-02-25,12:00:00,1.084,1.0867,1.0828,1.0836,12559,1.084,1.0738,BEARISH_SWEEP,-0.41528239202657335,-0.5444813584348279,-0.5906238464377964
2010-02-25,16:00:00,1.0836,1.0863,1.079,1.0791,14180,1.084,1.0738,BEARISH_SWEEP,0.12973774441664981,-0.10193679918449439,-0.5189509776665786
2010-03-01,16:00:00,1.0839,1.0869,1.0791,1.0793,14845,1.0815,1.0694,BEARISH_SWEEP,-0.07412211618640896,0.296488464745677,-0.39840637450198935
2010-03-02,08:00:00,1.0825,1.0886,1.0808,1.0818,12240,1.0869,1.072,BEARISH_SWEEP,-0.18487705675725657,-0.6193381401368229,-0.7672397855426322
2010-03-05,12:00:00,1.0766,1.0808,1.076,1.078,11850,1.0794,1.0669,BEARISH_SWEEP,-0.3339517625231955,-0.8070500927643924,-0.7699443413729103
2010-03-10,12:00:00,1.0767,1.077,1.0725,1.0737,7620,1.0802,1.0726,BULLISH_SWEEP,-0.2607804787184628,-0.2700940672441208,-0.14901741641054725
2010-03-11,12:00:00,1.07,1.0729,1.0681,1.0721,8362,1.0793,1.0684,BULLISH_SWEEP,-0.24251469079378396,-0.317134595653397,-1.1006435966794172
2010-03-11,20:00:00,1.0694,1.0697,1.0681,1.0685,2893,1.0793,1.0684,BULLISH_SWEEP,0.018717828731865043,-0.8235844642021449,-1.0201216658867487
2010-03-12,00:00:00,1.0684,1.0694,1.0678,1.0687,3166,1.0729,1.0681,BULLISH_SWEEP,-0.21521474688874043,-0.78600168428932,-0.8327874988303461
2010-03-17,12:00:00,1.052,1.0563,1.0518,1.054,9230,1.0625,1.0533,BULLISH_SWEEP,-0.11385199240987569,0.09487666034154553,0.4648956356736152
2010-03-17,20:00:00,1.0529,1.0549,1.0528,1.0542,3271,1.0625,1.0533,BULLISH_SWEEP,0.07588692847656155,0.3320053120849989,0.3130335799658585
2010-03-22,08:00:00,1.0627,1.0634,1.0578,1.0619,8641,1.0633,1.054,BEARISH_SWEEP,-0.23542706469537328,-0.36726622092475886,-0.16950748658065953
2010-03-22,12:00:00,1.0618,1.066,1.0588,1.0594,11030,1.0633,1.054,BEARISH_SWEEP,-0.0283179158013939,-0.0566358316027878,-0.2454219369454348
2010-03-23,12:00:00,1.06,1.0626,1.0551,1.0568,11866,1.066,1.0562,BULLISH_SWEEP,0.06623769871310986,0.12301286903861458,1.0881907645723
2010-03-23,16:00:00,1.0567,1.0578,1.0546,1.0575,9317,1.066,1.0562,BULLISH_SWEEP,-0.009456264775433666,0.34988179669028974,1.3711583924349842
2010-03-23,20:00:00,1.0576,1.0577,1.0559,1.0574,4790,1.066,1.0562,BULLISH_SWEEP,0.06620011348592256,1.0875732929827944,1.380745224134686
2010-03-25,04:00:00,1.0712,1.074,1.0701,1.071,4612,1.0736,1.0558,BEARISH_SWEEP,-0.2427637721755309,0.21475256769374126,0.08403361344538962
2010-03-25,16:00:00,1.0682,1.075,1.0673,1.0733,10570,1.0736,1.0558,BEARISH_SWEEP,0.07453647628809597,-0.1304388335041317,-0.6149259293766831
2010-03-29,00:00:00,1.0596,1.0679,1.0596,1.0678,3980,1.0741,1.0635,BULLISH_SWEEP,-0.21539614159956835,-0.3090466379471887,-0.45888743210340194
2010-03-29,12:00:00,1.0622,1.0658,1.0602,1.0645,8197,1.0741,1.0635,BULLISH_SWEEP,-0.04697040864255002,-0.15030530765618091,0.07515265382808002
2010-03-29,16:00:00,1.0645,1.0661,1.0614,1.064,7047,1.0741,1.0635,BULLISH_SWEEP,-0.12218045112782694,-0.2537593984962544,0.2819548872180349
2010-03-30,08:00:00,1.0613,1.0638,1.0587,1.0624,9632,1.0689,1.0592,BULLISH_SWEEP,0.2729668674698703,0.3388554216867515,-0.16001506024096712
2010-03-31,04:00:00,1.0673,1.0682,1.0661,1.067,4067,1.0679,1.0587,BEARISH_SWEEP,-0.5904404873477013,-1.462043111527653,-1.255857544517325
2010-03-31,08:00:00,1.067,1.0681,1.0604,1.0607,7911,1.0679,1.0587,BEARISH_SWEEP,-0.38653719242009926,-0.6505138116338179,-0.7636466484397092
2010-04-01,16:00:00,1.0477,1.0609,1.0435,1.0553,10636,1.0682,1.0488,BULLISH_SWEEP,-0.11371174073721861,0.009475978394768216,0.6727944660286276
2010-04-02,20:00:00,1.0624,1.0624,1.0594,1.0607,3249,1.0609,1.0435,BEARISH_SWEEP,-0.16969925520882662,0.25454888281322946,0.15084378240784818
2010-04-05,12:00:00,1.0635,1.0643,1.0584,1.0589,4950,1.0641,1.0538,BEARISH_SWEEP,0.28331287184815507,0.6705071300406182,1.1143639626027042
2010-04-07,12:00:00,1.0697,1.0743,1.0694,1.0718,8655,1.0721,1.0613,BEARISH_SWEEP,0.0,0.3825340548609808,0.23325247247620323
2010-04-07,16:00:00,1.0718,1.0738,1.0711,1.0718,7599,1.0721,1.0613,BEARISH_SWEEP,0.17727187908191944,0.22392237357715594,0.19593207688001404
2010-04-08,04:00:00,1.0759,1.0762,1.0738,1.0742,3614,1.0746,1.068,BEARISH_SWEEP,0.19549432135542644,-0.027927760193629393,-0.08378328058090885
2010-04-08,12:00:00,1.0763,1.0774,1.0734,1.0743,9107,1.0746,1.068,BEARISH_SWEEP,-0.037233547426226934,-0.13031741599181493,-0.47472772968445537
2010-04-08,16:00:00,1.0742,1.0747,1.0715,1.0739,8260,1.0746,1.068,BEARISH_SWEEP,-0.08380668591117635,-0.05587112394079113,-0.6518297793090713
2010-04-09,00:00:00,1.0729,1.0734,1.0713,1.0729,3940,1.0784,1.0715,BULLISH_SWEEP,0.03728213253797707,-0.3448597259763293,-1.370118370770802
2010-04-13,12:00:00,1.0586,1.0587,1.0542,1.0582,7834,1.0615,1.055,BULLISH_SWEEP,-0.3402003402003447,-0.5953505953505928,-0.4536004536004666
2010-04-14,12:00:00,1.0529,1.0559,1.0526,1.0534,9587,1.0601,1.0533,BULLISH_SWEEP,-0.1803683311182638,-0.1708752610594078,0.4841465730017187
2010-04-15,20:00:00,1.0571,1.0571,1.0556,1.0558,3759,1.0559,1.0502,BEARISH_SWEEP,0.19890130706573125,0.21784428869103697,0.5209319946959499
