trade_date,trade_time,open,high,low,close,volume,rsi,signal,forward_1,forward_3,forward_6
2010-01-20,12:00:00,1.041,1.0457,1.041,1.044,12917,85.25896414342685,OVERBOUGHT,0.019157088122603253,0.13409961685824404,0.019157088122603253
2010-01-20,16:00:00,1.0441,1.0461,1.0436,1.0442,12257,87.09677419354877,OVERBOUGHT,-0.04788354721317228,-0.05746025665580673,-0.3064547021643451
2010-01-20,20:00:00,1.0441,1.0445,1.0434,1.0437,6252,88.16326530612352,OVERBOUGHT,0.1628820542301461,0.4599022707674537,-0.11497556769187409
2010-01-21,00:00:00,1.0437,1.0464,1.042,1.0454,8260,93.20000000000067,OVERBOUGHT,-0.17218289649895002,-0.11478859766597377,-0.4591543906638738
2010-01-21,04:00:00,1.0455,1.046,1.0433,1.0436,7916,86.53846153846206,OVERBOUGHT,0.46952855500190727,-0.2491376006132769,-0.21080873898045033
2010-01-21,08:00:00,1.0435,1.0493,1.0434,1.0485,11917,89.54248366013105,OVERBOUGHT,-0.41010968049594376,-0.5722460658082981,-0.8774439675727321
2010-01-27,16:00:00,1.0471,1.0494,1.0467,1.0487,12932,80.95238095238084,OVERBOUGHT,0.028606846571943068,0.15256984838371754,0.23839038809954677
2010-01-28,00:00:00,1.0491,1.0553,1.0491,1.0515,9730,83.81502890173361,OVERBOUGHT,-0.11412268188303279,0.13314312886351362,0.06657156443175681
2010-02-05,00:00:00,1.0667,1.0746,1.0646,1.0745,7926,86.98884758364298,OVERBOUGHT,-0.13959981386692014,-0.018613308515586596,0.14890646812471342
2010-02-05,04:00:00,1.0745,1.0793,1.0681,1.073,9743,82.14285714285688,OVERBOUGHT,0.00931966449207726,0.5032618825722341,0.27958993476235916
2010-02-05,08:00:00,1.0729,1.0762,1.0708,1.0731,14307,81.61764705882318,OVERBOUGHT,0.11182555213867208,-0.07455036809243425,-0.1491007361848892
2010-02-05,12:00:00,1.0732,1.0747,1.0696,1.0743,15486,82.68551236749084,OVERBOUGHT,0.3816438611188674,0.16755096341804188,-0.13031741599181493
2010-02-05,16:00:00,1.0743,1.0793,1.0731,1.0784,15412,94.82758620689638,OVERBOUGHT,-0.5656528189910974,-0.22255192878337884,-0.6583827893175173
2010-02-19,00:00:00,1.0862,1.0888,1.0847,1.0867,10679,84.05315614617957,OVERBOUGHT,0.13803257568786756,-0.17484126253796015,-1.1318671206404691
2010-02-19,04:00:00,1.0868,1.0893,1.086,1.0882,6611,84.76190476190496,OVERBOUGHT,-0.20216871898547875,-0.9465171843411115,-1.1578753905532224
2010-03-12,12:00:00,1.0596,1.0621,1.0587,1.0603,8523,18.823529411763943,OVERSOLD,-0.1414693954541221,-0.04715646515136706,0.056587758181640475
2010-03-12,16:00:00,1.0603,1.0618,1.0581,1.0588,8505,16.226415094338975,OVERSOLD,-0.11333585190780769,0.0,0.29278428409521184
2010-03-12,20:00:00,1.0587,1.0593,1.0575,1.0576,2910,17.408906882590415,OVERSOLD,0.2080181543116471,0.28366111951587475,0.4160363086232942
2010-03-25,20:00:00,1.0733,1.0747,1.0719,1.0741,4296,82.88973384030382,OVERBOUGHT,-0.297923843217586,-0.4655060050274756,-0.8472209291499961
2010-04-07,20:00:00,1.0719,1.0746,1.0713,1.0737,4046,83.333333333334,OVERBOUGHT,0.20489894756449467,0.24215330166712634,-0.06519511967962605
2010-04-08,00:00:00,1.0736,1.0767,1.0732,1.0759,3561,82.71028037383235,OVERBOUGHT,-0.15800724974440328,-0.1487127056417925,-0.27883632307836353
2010-04-12,04:00:00,1.0582,1.0582,1.055,1.0569,4791,17.938931297709644,OVERSOLD,0.34061879080329716,0.3216955246475608,0.1797710284795168
2010-04-15,00:00:00,1.0516,1.0519,1.0506,1.0516,2919,15.199999999998923,OVERSOLD,0.019018638265498093,0.6561430201597476,0.5990871053632534
2010-04-15,04:00:00,1.0516,1.0524,1.0506,1.0518,3500,17.07317073170607,OVERSOLD,0.7130633200228028,0.5038980794827781,0.7130633200228028
2010-05-04,16:00:00,1.0972,1.1007,1.0965,1.0999,11078,90.47619047619011,OVERBOUGHT,0.39094463133011825,0.4000363669424456,1.272842985725956
2010-05-04,20:00:00,1.1,1.1048,1.1,1.1042,6513,91.56626506024064,OVERBOUGHT,0.10867596449917295,0.00905633037493108,1.2044919398659542
2010-05-05,00:00:00,1.1042,1.1071,1.1026,1.1054,5513,91.48936170212728,OVERBOUGHT,-0.09951148905372525,0.8594174054640913,1.0222543875520254
2010-05-05,04:00:00,1.1054,1.1071,1.1039,1.1043,5187,90.1197604790423,OVERBOUGHT,0.0,0.8693289866883845,1.1681608258625293
2010-05-05,08:00:00,1.1043,1.1073,1.1023,1.1043,10763,88.17204301075311,OVERBOUGHT,0.9598840894684364,1.1953273566965388,0.8240514352983687
2010-05-05,12:00:00,1.1042,1.1185,1.1034,1.1149,13724,93.61702127659584,OVERBOUGHT,-0.08969414297247394,0.16144945735043714,-1.1660238586420217
2010-05-05,16:00:00,1.115,1.1153,1.1105,1.1139,12474,91.1917098445594,OVERBOUGHT,0.32318879612173873,0.2962563964449305,-0.2962563964449106
2010-05-05,20:00:00,1.1139,1.1195,1.1137,1.1175,7408,91.84652278177442,OVERBOUGHT,-0.07158836689037243,-0.3668903803131984,-0.4026845637583847
2010-05-06,00:00:00,1.1175,1.1187,1.1153,1.1167,4989,89.34010152284266,OVERBOUGHT,0.044774782842298286,-1.3253335721321682,-0.31342347989612773
2010-05-06,04:00:00,1.1166,1.1189,1.1153,1.1172,4388,89.44723618090453,OVERBOUGHT,-0.340136054421771,-0.5907626208378034,-0.3311851056211991
2010-05-06,08:00:00,1.1172,1.1244,1.1131,1.1134,13863,84.16075650118212,OVERBOUGHT,-1.0328722830968065,-0.035925992455537625,-0.17962996227770808
2010-05-14,20:00:00,1.1298,1.1335,1.1291,1.1334,6163,85.04155124653678,OVERBOUGHT,0.07940709370038142,0.4587965413799271,-0.22057526027880245
2010-05-17,00:00:00,1.1339,1.1354,1.1319,1.1343,7592,84.2565597667633,OVERBOUGHT,0.634752710923025,-0.09697610861325054,-0.017632019747860175
2010-05-17,04:00:00,1.1344,1.1444,1.1344,1.1415,12462,88.2640586797059,OVERBOUGHT,-0.25405168637756487,-0.6833114323258895,-0.6920718353044256
2010-05-17,08:00:00,1.1415,1.1425,1.1362,1.1386,14419,83.37182448036943,OVERBOUGHT,-0.47426664324609796,-0.6762691024064676,-0.8255752678728329
