trade_date,trade_time,open,high,low,close,volume,rsi,recent_low,recent_high,distance_to_recent_low_pct,distance_to_recent_high_pct,signal,forward_1,forward_3,forward_6
2010-01-20,16:00:00,1.0441,1.0461,1.0436,1.0442,12257,87.09677419354877,1.0227,1.0457,2.1022782829764424,-0.14344458257627013,DOUBLE_TOP_BEARISH,-0.04788354721317228,-0.05746025665580673,-0.3064547021643451
2010-01-21,00:00:00,1.0437,1.0464,1.042,1.0454,8260,93.20000000000067,1.023,1.0461,2.189638318670596,-0.06691520887103747,DOUBLE_TOP_BEARISH,-0.17218289649895002,-0.11478859766597377,-0.4591543906638738
2010-01-27,16:00:00,1.0471,1.0494,1.0467,1.0487,12932,80.95238095238084,1.0378,1.0502,1.0502987088070832,-0.14282993715483305,DOUBLE_TOP_BEARISH,0.028606846571943068,0.15256984838371754,0.23839038809954677
2010-01-28,00:00:00,1.0491,1.0553,1.0491,1.0515,9730,83.81502890173361,1.0426,1.0523,0.8536351429119633,-0.07602394754346782,DOUBLE_TOP_BEARISH,-0.11412268188303279,0.13314312886351362,0.06657156443175681
2010-02-05,04:00:00,1.0745,1.0793,1.0681,1.073,9743,82.14285714285688,1.0513,1.0746,2.064111100542191,-0.14889261120417327,DOUBLE_TOP_BEARISH,0.00931966449207726,0.5032618825722341,0.27958993476235916
2010-02-05,16:00:00,1.0743,1.0793,1.0731,1.0784,15412,94.82758620689638,1.0579,1.0793,1.9378013044711186,-0.08338738070971008,DOUBLE_TOP_BEARISH,-0.5656528189910974,-0.22255192878337884,-0.6583827893175173
2010-02-19,00:00:00,1.0862,1.0888,1.0847,1.0867,10679,84.05315614617957,1.0646,1.0863,2.075897050535413,0.036822240633338485,DOUBLE_TOP_BEARISH,0.13803257568786756,-0.17484126253796015,-1.1318671206404691
2010-02-19,04:00:00,1.0868,1.0893,1.086,1.0882,6611,84.76190476190496,1.0684,1.0888,1.8532384874578847,-0.055106539309325304,DOUBLE_TOP_BEARISH,-0.20216871898547875,-0.9465171843411115,-1.1578753905532224
2010-03-12,16:00:00,1.0603,1.0618,1.0581,1.0588,8505,16.226415094338975,1.0577,1.0729,0.10399924364185295,-1.3141951719638365,DOUBLE_BOTTOM_BULLISH,-0.11333585190780769,0.0,0.29278428409521184
2010-03-12,20:00:00,1.0587,1.0593,1.0575,1.0576,2910,17.408906882590415,1.0577,1.0729,-0.009454476694713904,-1.4260415695777677,DOUBLE_BOTTOM_BULLISH,0.2080181543116471,0.28366111951587475,0.4160363086232942
2010-03-25,20:00:00,1.0733,1.0747,1.0719,1.0741,4296,82.88973384030382,1.058,1.075,1.521739130434783,-0.08372093023254892,DOUBLE_TOP_BEARISH,-0.297923843217586,-0.4655060050274756,-0.8472209291499961
2010-04-07,20:00:00,1.0719,1.0746,1.0713,1.0737,4046,83.333333333334,1.0655,1.0743,0.7695917409667018,-0.0558503211393404,DOUBLE_TOP_BEARISH,0.20489894756449467,0.24215330166712634,-0.06519511967962605
2010-04-08,00:00:00,1.0736,1.0767,1.0732,1.0759,3561,82.71028037383235,1.0656,1.0746,0.9665915915915892,0.12097524660339463,DOUBLE_TOP_BEARISH,-0.15800724974440328,-0.1487127056417925,-0.27883632307836353
2010-04-12,04:00:00,1.0582,1.0582,1.055,1.0569,4791,17.938931297709644,1.0556,1.0774,0.12315270935959234,-1.9027287915351738,DOUBLE_BOTTOM_BULLISH,0.34061879080329716,0.3216955246475608,0.1797710284795168
2010-04-15,00:00:00,1.0516,1.0519,1.0506,1.0516,2919,15.199999999998923,1.0502,1.0601,0.13330794134451227,-0.8018111498915151,DOUBLE_BOTTOM_BULLISH,0.019018638265498093,0.6561430201597476,0.5990871053632534
