trade_date,trade_time,open,high,low,close,volume,week,prev_week_high,prev_week_low,rsi,distance_to_prev_week_high_pct,distance_to_prev_week_low_pct,signal,forward_1,forward_3,forward_6
2010-01-27,16:00:00,1.0471,1.0494,1.0467,1.0487,12932,2010-01-25/2010-01-31,1.0493,1.0227,80.95238095238084,-0.057180977794714004,2.542290016622668,BEARISH_WEEKLY_STRUCTURE,0.028606846571943068,0.15256984838371754,0.23839038809954677
2010-04-12,04:00:00,1.0582,1.0582,1.055,1.0569,4791,2010-04-12/2010-04-18,1.0784,1.0584,17.938931297709644,-1.993694362017811,-0.14172335600907568,BULLISH_WEEKLY_STRUCTURE,0.34061879080329716,0.3216955246475608,0.1797710284795168
2010-05-17,00:00:00,1.1339,1.1354,1.1319,1.1343,7592,2010-05-17/2010-05-23,1.1335,1.0922,84.2565597667633,0.07057785619762982,3.854605383629374,BEARISH_WEEKLY_STRUCTURE,0.634752710923025,-0.09697610861325054,-0.017632019747860175
2010-06-10,04:00:00,1.1489,1.1502,1.1422,1.1436,7103,2010-06-07/2010-06-13,1.1729,1.1424,14.233576642335777,-2.4980816778924124,0.1050420168067111,BULLISH_WEEKLY_STRUCTURE,-0.061210213361308406,-0.0874431619447263,0.02623294858341789
2010-06-10,08:00:00,1.1436,1.1479,1.1411,1.1429,8764,2010-06-07/2010-06-13,1.1729,1.1424,14.606741573033787,-2.5577628101287426,0.043767507002796295,BULLISH_WEEKLY_STRUCTURE,-0.1224954064222651,0.026249015661909788,-0.061247703211122835
2010-06-10,12:00:00,1.1428,1.1467,1.1397,1.1415,9717,2010-06-07/2010-06-13,1.1729,1.1424,14.885496183206158,-2.6771250746014235,-0.07878151260505277,BULLISH_WEEKLY_STRUCTURE,0.09636443276391597,0.19272886552781252,0.6395094174332093
2010-06-10,16:00:00,1.1415,1.1461,1.1402,1.1426,9515,2010-06-07/2010-06-13,1.1729,1.1424,19.011406844106745,-2.5833404382300276,0.01750700280111852,BULLISH_WEEKLY_STRUCTURE,0.052511815158404855,0.11377559950987719,0.971468580430587
2010-06-28,00:00:00,1.0934,1.0934,1.0895,1.0916,4796,2010-06-28/2010-07-04,1.1136,1.0921,16.190476190476417,-1.97557471264368,-0.04578335317280166,BULLISH_WEEKLY_STRUCTURE,0.0,-0.8061561011359399,-0.439721509710509
2010-06-28,04:00:00,1.0916,1.093,1.0908,1.0916,4759,2010-06-28/2010-07-04,1.1136,1.0921,16.666666666666842,-1.97557471264368,-0.04578335317280166,BULLISH_WEEKLY_STRUCTURE,-0.5038475632099523,-0.3572737266397962,-0.6504213997801287
2010-07-30,00:00:00,1.0411,1.0414,1.0386,1.0394,4374,2010-07-26/2010-08-01,1.0562,1.0394,15.77287066246042,-1.5906078394243444,0.0,BULLISH_WEEKLY_STRUCTURE,0.21166057340773325,0.21166057340773325,0.13469309216854394
2010-08-16,12:00:00,1.0402,1.0421,1.035,1.0389,8699,2010-08-16/2010-08-22,1.0623,1.0374,9.956709956710625,-2.2027675797797315,0.14459224985539182,BULLISH_WEEKLY_STRUCTURE,0.04812782750988228,-0.06737895851380528,0.2406391375493473
2010-08-17,00:00:00,1.0393,1.0398,1.0361,1.0382,4497,2010-08-16/2010-08-22,1.0623,1.0374,15.642458100560049,-2.2686623364398013,0.0771158665895423,BULLISH_WEEKLY_STRUCTURE,0.2504334424966226,0.308225775380475,0.5586592178770976
2010-12-22,00:00:00,0.9582,0.9586,0.9564,0.957,9123,2010-12-20/2010-12-26,0.9849,0.9558,9.27152317880767,-2.832774901005182,0.12554927809164876,BULLISH_WEEKLY_STRUCTURE,-0.1776384535005145,-0.04179728317658892,-0.6478578892371979
2010-12-22,04:00:00,0.9569,0.9578,0.955,0.9553,7954,2010-12-20/2010-12-26,0.9849,0.9558,8.695652173912833,-3.0053812569804004,-0.052312199204848815,BULLISH_WEEKLY_STRUCTURE,-0.3349733068146228,-0.2512299801109671,-0.5024599602219225
2011-01-05,12:00:00,0.9513,0.9645,0.9508,0.9643,21633,2011-01-03/2011-01-09,0.9644,0.9301,86.6834170854272,-0.010369141435088033,3.677023975916569,BEARISH_WEEKLY_STRUCTURE,0.16592346780047026,0.4044384527636527,0.031110650212586015
2011-01-05,20:00:00,0.9659,0.9683,0.9653,0.9657,9120,2011-01-03/2011-01-09,0.9644,0.9301,86.18090452261318,0.13479883865615594,3.8275454252230903,BEARISH_WEEKLY_STRUCTURE,0.25887956922439126,0.4452728590659595,-0.051775913844885155
2011-01-06,12:00:00,0.97,0.9703,0.961,0.9646,18962,2011-01-03/2011-01-09,0.9644,0.9301,81.65137614678912,0.020738282870176067,3.7092785721965353,BEARISH_WEEKLY_STRUCTURE,-0.02073398299813166,-0.02073398299813166,0.14513788098693312
2011-02-07,08:00:00,0.9553,0.9591,0.9546,0.9578,20681,2011-02-07/2011-02-13,0.9592,0.9329,80.62283737024207,-0.145954962468731,2.6690963661700113,BEARISH_WEEKLY_STRUCTURE,0.1148465232825214,-0.2192524535393601,-0.4489455001044028
2011-02-07,12:00:00,0.9579,0.9597,0.9544,0.9589,20116,2011-02-07/2011-02-13,0.9592,0.9329,80.88737201365177,-0.03127606338616326,2.787008253832139,BEARISH_WEEKLY_STRUCTURE,-0.3024298675565767,-0.44843049327353957,-0.16685785796224162
2011-04-08,00:00:00,0.916,0.9165,0.9134,0.9136,7398,2011-04-04/2011-04-10,0.9339,0.9126,18.33333333333276,-2.1736802655530556,0.10957703265395582,BULLISH_WEEKLY_STRUCTURE,-0.16418563922941615,-0.2845884413309912,-0.6895796847635697
2011-04-08,04:00:00,0.9135,0.9143,0.9102,0.9121,9685,2011-04-04/2011-04-10,0.9339,0.9126,16.923076923076422,-2.33429703394367,-0.05478851632697183,BULLISH_WEEKLY_STRUCTURE,0.0,-0.16445565179257282,-0.46047582501918444
2011-04-08,08:00:00,0.9121,0.916,0.9117,0.9121,16049,2011-04-04/2011-04-10,0.9339,0.9126,6.358381502889557,-2.33429703394367,-0.05478851632697183,BULLISH_WEEKLY_STRUCTURE,-0.12060081131454774,-0.6468588970507638,-0.4166209845411715
2011-04-11,16:00:00,0.9079,0.9104,0.9046,0.9053,8279,2011-04-11/2011-04-17,0.9289,0.9058,14.285714285714093,-2.5406394660350906,-0.05519982336057142,BULLISH_WEEKLY_STRUCTURE,0.13255274494642427,-0.044184248315470666,-0.9941455870982003
2011-04-11,20:00:00,0.9052,0.907,0.9052,0.9065,638,2011-04-11/2011-04-17,0.9289,0.9058,18.644067796610074,-2.411454408440088,0.07727975270478284,BULLISH_WEEKLY_STRUCTURE,0.04412575841148009,-0.5515719801434092,-1.0921125206839515
2011-06-13,00:00:00,0.84258,0.84481,0.84155,0.84393,7476,2011-06-13/2011-06-19,0.8444,0.83261,80.92369477911627,-0.055660824253917746,1.3595801155402887,BEARISH_WEEKLY_STRUCTURE,0.13508229355515622,-0.7749457893427169,-0.9479459196852829
2011-06-13,04:00:00,0.84391,0.84673,0.84375,0.84507,7623,2011-06-13/2011-06-19,0.8444,0.83261,80.51948051948042,0.07934628138322458,1.4964989610982364,BEARISH_WEEKLY_STRUCTURE,-0.8934171133752169,-0.8034837350751965,-0.8389837528252145
2011-09-12,00:00:00,0.88798,0.88889,0.88553,0.88708,14077,2011-09-12/2011-09-18,0.88634,0.78202,88.21243523316073,0.08348940587133187,13.434439016904928,BEARISH_WEEKLY_STRUCTURE,0.3178969202326785,-0.7428867745862814,-0.7124498354150688
2011-11-01,08:00:00,0.87894,0.89047,0.87856,0.88827,18089,2011-10-31/2011-11-06,0.88769,0.85686,87.87715517241368,0.06533812479582117,3.665709684195791,BEARISH_WEEKLY_STRUCTURE,0.43230098956397883,-0.1418487622006866,-0.47170342350862093
2012-02-08,16:00:00,0.9126,0.9149,0.911,0.9125,10084,2012-02-06/2012-02-12,0.9249,0.9113,15.384615384615444,-1.3406854795113068,0.13168001755733336,BULLISH_WEEKLY_STRUCTURE,0.054794520547951336,-0.3178082191780837,-0.12054794520547836
2012-02-20,16:00:00,0.9114,0.9123,0.9095,0.9113,7228,2012-02-20/2012-02-26,0.93,0.9101,12.888888888888914,-2.0107526881720483,0.13185364245687053,BULLISH_WEEKLY_STRUCTURE,0.08778667837155962,-0.25238670031822324,0.03292000438933029
