trade_date,trade_time,open,high,low,close,volume,ny_high,ny_low,signal,bullish_count,bearish_count,forward_1,forward_3,forward_6
2009-12-28,20:00:00,1.0342,1.0352,1.0337,1.0351,2877,1.0347,1.033,BULLISH_NEWYORK_BREAKOUT,1,0,0.028982706984850646,-0.3188097768331426,0.14491353492416742
2010-02-01,20:00:00,1.0577,1.058,1.0553,1.0559,6590,1.0597,1.0572,BEARISH_NEWYORK_BREAKOUT,0,1,0.18941187612463317,0.018941187612461215,-0.0852353442560965
2010-02-05,20:00:00,1.0785,1.0785,1.0723,1.0723,7861,1.0793,1.0731,BEARISH_NEWYORK_BREAKOUT,0,1,0.35437843886972165,-0.07460598713047971,0.027977245173922125
2010-02-11,20:00:00,1.0713,1.0715,1.0699,1.0705,7202,1.0781,1.071,BEARISH_NEWYORK_BREAKOUT,0,1,0.1120971508640906,0.9061186361513351,0.45773003269499346
2010-02-18,20:00:00,1.0772,1.0863,1.0768,1.0862,9781,1.0812,1.0758,BULLISH_NEWYORK_BREAKOUT,1,0,0.04603203829865079,-0.01841281531946032,-0.9850856195912496
2010-02-19,20:00:00,1.0778,1.0782,1.0749,1.0755,5071,1.0862,1.0768,BEARISH_NEWYORK_BREAKOUT,0,1,-0.10227801022778978,0.05578800557881507,0.00929800092979907
2010-02-22,20:00:00,1.0772,1.0772,1.0748,1.0756,6300,1.0787,1.0759,BEARISH_NEWYORK_BREAKOUT,0,1,-0.07437709185570025,0.19523986612125446,0.7158795091111976
2010-03-01,20:00:00,1.0793,1.0802,1.0776,1.0785,6679,1.0869,1.0791,BEARISH_NEWYORK_BREAKOUT,0,1,0.20398701900787944,0.30598052851182944,-0.3152526657394594
2010-03-12,20:00:00,1.0587,1.0593,1.0575,1.0576,2910,1.0618,1.0581,BEARISH_NEWYORK_BREAKOUT,0,1,0.2080181543116471,0.28366111951587475,0.4160363086232942
2010-04-02,20:00:00,1.0624,1.0624,1.0594,1.0607,3249,1.0641,1.0621,BEARISH_NEWYORK_BREAKOUT,0,1,-0.16969925520882662,0.25454888281322946,0.15084378240784818
2010-04-06,20:00:00,1.0711,1.0711,1.0679,1.0691,4101,1.0721,1.0698,BEARISH_NEWYORK_BREAKOUT,0,1,0.05612197175195548,0.06547563371061126,0.43026845009822834
2010-04-13,20:00:00,1.0545,1.0552,1.0533,1.0537,3689,1.0601,1.0546,BEARISH_NEWYORK_BREAKOUT,0,1,-0.17082661098984755,-0.07592293821772174,-0.1992977128214853
