trade_date,trade_time,open,high,low,close,volume,prev_20_high,prev_20_low,signal,forward_1,forward_3,forward_6
2009-12-24,08:00:00,1.0382,1.0386,1.0339,1.0351,6275,1.0501,1.0359,BEARISH_20_BAR_BREAKOUT,0.2511834605352293,-0.009660902328276398,-0.11593082793931678
2009-12-29,08:00:00,1.0346,1.0346,1.0291,1.0318,8640,1.0496,1.032,BEARISH_20_BAR_BREAKOUT,-0.04845900368287894,0.4652064353556809,0.45551463461910513
2010-01-08,16:00:00,1.0307,1.0345,1.0215,1.0226,12387,1.0383,1.0243,BEARISH_20_BAR_BREAKOUT,0.0880109524740977,-0.49872873068647394,-0.7236456092313566
2010-01-11,00:00:00,1.0239,1.0239,1.0153,1.0153,8382,1.0383,1.0215,BEARISH_20_BAR_BREAKOUT,0.21668472372697525,0.11819166748742911,0.19698611247907036
2010-01-14,12:00:00,1.0199,1.0226,1.0187,1.022,11757,1.0217,1.0132,BULLISH_20_BAR_BREAKOUT,-0.4403131115459832,0.08806262230918795,0.30332681017611357
2010-01-15,08:00:00,1.0232,1.0267,1.0232,1.0265,10454,1.0248,1.0137,BULLISH_20_BAR_BREAKOUT,-0.13638577691184295,-0.1266439357038557,-0.06819288845591065
2010-01-19,08:00:00,1.0244,1.0323,1.023,1.0321,11397,1.0289,1.0159,BULLISH_20_BAR_BREAKOUT,0.09688983625616605,0.03875593450246642,0.8526305590543473
2010-01-19,12:00:00,1.0322,1.0351,1.032,1.0331,13270,1.0323,1.0162,BULLISH_20_BAR_BREAKOUT,-0.08711644564900793,0.3871842028845227,1.0550769528603363
2010-01-20,00:00:00,1.0326,1.0388,1.0323,1.0371,10138,1.0353,1.0169,BULLISH_20_BAR_BREAKOUT,0.0674959020345333,0.6653167486259887,0.800308552695034
2010-01-20,08:00:00,1.0378,1.0416,1.0372,1.0409,11687,1.04,1.0179,BULLISH_20_BAR_BREAKOUT,0.2978191949274765,0.2689979825151442,0.7301373811125038
2010-01-20,12:00:00,1.041,1.0457,1.041,1.044,12917,1.0416,1.022,BULLISH_20_BAR_BREAKOUT,0.019157088122603253,0.13409961685824404,0.019157088122603253
2010-01-21,08:00:00,1.0435,1.0493,1.0434,1.0485,11917,1.0464,1.0227,BULLISH_20_BAR_BREAKOUT,-0.41010968049594376,-0.5722460658082981,-0.8774439675727321
2010-01-29,16:00:00,1.0543,1.064,1.0524,1.06,14638,1.0553,1.0426,BULLISH_20_BAR_BREAKOUT,0.037735849056599616,0.047169811320749516,-0.21698113207546874
2010-02-04,16:00:00,1.0622,1.0674,1.0618,1.0647,14538,1.0631,1.0498,BULLISH_20_BAR_BREAKOUT,0.18784634169249573,0.7795623180238541,1.2867474405935986
2010-02-05,00:00:00,1.0667,1.0746,1.0646,1.0745,7926,1.0674,1.0498,BULLISH_20_BAR_BREAKOUT,-0.13959981386692014,-0.018613308515586596,0.14890646812471342
2010-02-12,08:00:00,1.0707,1.0821,1.0707,1.0802,12222,1.0781,1.0609,BULLISH_20_BAR_BREAKOUT,-0.4351046102573735,-0.44436215515646527,-0.3425291612664355
2010-02-18,00:00:00,1.0783,1.081,1.0772,1.0804,7452,1.0802,1.0646,BULLISH_20_BAR_BREAKOUT,-0.185116623472788,-0.3794890781192144,0.5831173639392792
2010-02-18,20:00:00,1.0772,1.0863,1.0768,1.0862,9781,1.0824,1.0646,BULLISH_20_BAR_BREAKOUT,0.04603203829865079,-0.01841281531946032,-0.9850856195912496
2010-02-19,00:00:00,1.0862,1.0888,1.0847,1.0867,10679,1.0863,1.0646,BULLISH_20_BAR_BREAKOUT,0.13803257568786756,-0.17484126253796015,-1.1318671206404691
2010-02-25,04:00:00,1.0853,1.0877,1.0851,1.0862,8274,1.0856,1.0714,BULLISH_20_BAR_BREAKOUT,-0.20254096851408393,-0.653654943840923,-0.7549254280979548
2010-03-03,16:00:00,1.0719,1.0738,1.0648,1.066,14121,1.0886,1.0694,BEARISH_20_BAR_BREAKOUT,0.17823639774859407,0.48780487804876843,1.1632270168855503
2010-03-12,04:00:00,1.0687,1.0687,1.0663,1.0664,3632,1.0802,1.0678,BEARISH_20_BAR_BREAKOUT,-0.6282820705176227,-0.7126781695423904,-0.7126781695423904
2010-03-12,08:00:00,1.0663,1.0679,1.0577,1.0597,8508,1.0802,1.0663,BEARISH_20_BAR_BREAKOUT,0.05661979805604736,-0.19816929319618673,0.08492969708407104
2010-03-12,20:00:00,1.0587,1.0593,1.0575,1.0576,2910,1.0802,1.0577,BEARISH_20_BAR_BREAKOUT,0.2080181543116471,0.28366111951587475,0.4160363086232942
2010-03-16,12:00:00,1.0605,1.0605,1.0546,1.0553,8593,1.0729,1.0575,BEARISH_20_BAR_BREAKOUT,-0.009475978394768216,-0.01895195678953643,-0.12318771913198683
2010-03-17,08:00:00,1.0535,1.0542,1.0512,1.052,9307,1.0694,1.0533,BEARISH_20_BAR_BREAKOUT,0.1901140684410648,0.2091254752851692,0.5418250950570379
2010-03-24,08:00:00,1.0612,1.0699,1.061,1.0689,11636,1.066,1.054,BULLISH_20_BAR_BREAKOUT,-0.05613247263541342,0.29001777528301087,-0.04677706052951118
2010-03-24,16:00:00,1.0683,1.0722,1.0679,1.072,8701,1.0713,1.054,BULLISH_20_BAR_BREAKOUT,0.0,-0.09328358208956268,0.12126865671640455
2010-03-31,12:00:00,1.0607,1.0614,1.0558,1.0566,9255,1.0723,1.0587,BEARISH_20_BAR_BREAKOUT,-0.49214461480220456,-0.283929585462795,-0.8328601173575543
2010-03-31,16:00:00,1.0565,1.0565,1.0488,1.0514,9609,1.0723,1.0558,BEARISH_20_BAR_BREAKOUT,0.22826707247481262,0.20924481643524845,0.3709339927715441
2010-04-01,12:00:00,1.0525,1.0529,1.0474,1.0478,8506,1.0689,1.0488,BEARISH_20_BAR_BREAKOUT,0.7157854552395342,0.6776102309600958,1.4029394922695109
2010-04-06,00:00:00,1.0622,1.0666,1.0613,1.066,3751,1.0643,1.0435,BULLISH_20_BAR_BREAKOUT,0.01876172607879718,0.4409005628517754,0.3470919324577895
2010-04-06,08:00:00,1.0663,1.0683,1.0656,1.0678,7616,1.0674,1.0435,BULLISH_20_BAR_BREAKOUT,0.2715864394081197,0.12174564525190641,0.18730099269526143
2010-04-06,12:00:00,1.0679,1.072,1.0672,1.0707,8819,1.0683,1.0435,BULLISH_20_BAR_BREAKOUT,0.03735873727467601,-0.09339684318669,0.10273652750537973
2010-04-08,00:00:00,1.0736,1.0767,1.0732,1.0759,3561,1.0746,1.0584,BULLISH_20_BAR_BREAKOUT,-0.15800724974440328,-0.1487127056417925,-0.27883632307836353
2010-04-12,00:00:00,1.0571,1.0601,1.0556,1.0582,5800,1.0784,1.0655,BEARISH_20_BAR_BREAKOUT,-0.1228501228501303,0.00945000945000841,0.08505008505007568
2010-04-13,20:00:00,1.0545,1.0552,1.0533,1.0537,3689,1.0774,1.0542,BEARISH_20_BAR_BREAKOUT,-0.17082661098984755,-0.07592293821772174,-0.1992977128214853
2010-04-14,00:00:00,1.0538,1.0546,1.0511,1.0519,4340,1.076,1.0533,BEARISH_20_BAR_BREAKOUT,-0.02851982127578353,0.14259910637891765,-0.02851982127578353
2010-04-19,00:00:00,1.0629,1.065,1.0614,1.0644,4727,1.0632,1.0502,BULLISH_20_BAR_BREAKOUT,-0.08455467869223252,0.15971439308530955,-0.018789928598269258
