trade_date,trade_time,open,high,low,close,volume,prev_daily_high,signal,breakout_count,forward_1,forward_3,forward_6
1971-01-05,00:00:00,357.81,357.81,357.81,357.81,1,357.73,BULLISH_DAILY_HIGH_BREAKOUT,1,0.013973896760853909,0.0027947793521676044,0.17607109918671793
1971-01-06,00:00:00,357.86,357.86,357.86,357.86,1,357.81,BULLISH_DAILY_HIGH_BREAKOUT,1,0.0027943888671522117,0.02514949980438579,0.1508969988263465
1971-01-07,00:00:00,357.87,357.87,357.87,357.87,1,357.86,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.013971553916229739,0.0530919048816603,0.14809847151199396
1971-01-11,00:00:00,357.95,357.95,357.95,357.95,1,357.82,BULLISH_DAILY_HIGH_BREAKOUT,1,0.030730548959355678,0.12571588210643628,0.11174745076128903
1971-01-12,00:00:00,358.06,358.06,358.06,358.06,1,357.95,BULLISH_DAILY_HIGH_BREAKOUT,1,0.10612746467072431,0.0949561526001159,0.0949561526001159
1971-01-13,00:00:00,358.44,358.44,358.44,358.44,1,358.06,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.011159468809290387,-0.0418480080348112,-0.04742774243946432
1971-01-19,00:00:00,358.35,358.35,358.35,358.35,1,358.29,BULLISH_DAILY_HIGH_BREAKOUT,1,0.013952839402805783,-0.12557555462537895,-0.15627180131156754
1971-01-20,00:00:00,358.4,358.4,358.4,358.4,1,358.35,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.03627232142857016,-0.1869419642857029,-0.1590401785714267
1971-01-26,00:00:00,357.78,357.78,357.78,357.78,1,357.73,BULLISH_DAILY_HIGH_BREAKOUT,1,0.002795013695580454,-0.0167700821733874,-0.06708032869359726
1971-01-27,00:00:00,357.79,357.79,357.79,357.79,1,357.78,BULLISH_DAILY_HIGH_BREAKOUT,1,0.011179742306929656,-0.033539226920820744,-0.07825819614858703
1971-01-28,00:00:00,357.83,357.83,357.83,357.83,1,357.79,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.030740854595745687,-0.07824944806192123,-0.08383869435206981
1971-02-05,00:00:00,357.53,357.53,357.53,357.53,1,357.51,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.011187872346366354,-0.008390904259774765,0.0
1971-02-09,00:00:00,357.5,357.5,357.5,357.5,1,357.49,BULLISH_DAILY_HIGH_BREAKOUT,1,0.0,0.008391608391600759,0.016783216783217418
1971-02-16,00:00:00,357.53,357.53,357.53,357.53,1,357.5,BULLISH_DAILY_HIGH_BREAKOUT,1,0.0,0.008390904259790664,0.019578776606172917
1971-02-19,00:00:00,357.56,357.56,357.56,357.56,1,357.53,BULLISH_DAILY_HIGH_BREAKOUT,1,0.011186933661489111,0.011186933661489111,0.01957713390759402
1971-02-22,00:00:00,357.6,357.6,357.6,357.6,1,357.56,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.013982102908280584,-0.011185682326627646,-0.011185682326627646
1971-02-24,00:00:00,357.6,357.6,357.6,357.6,1,357.55,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.011185682326627646,0.008389261744958812,-0.04194630872484175
1971-03-01,00:00:00,357.63,357.63,357.63,357.63,1,357.56,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.019573302016048198,-0.05033134804127361,-0.04753516203898328
1971-03-05,00:00:00,357.59,357.59,357.59,357.59,1,357.45,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.011185995134081944,0.0,-0.013982493917602428
1971-03-10,00:00:00,357.59,357.59,357.59,357.59,1,357.46,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.008389496350561458,-0.013982493917602428,-0.008389496350561458
1971-03-12,00:00:00,357.58,357.58,357.58,357.58,1,357.56,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.01118630795904794,-0.013982884948825821,-0.03915207785669958
1971-03-17,00:00:00,357.53,357.53,357.53,357.53,1,357.49,BULLISH_DAILY_HIGH_BREAKOUT,1,0.008390904259790664,-0.025172712779340193,-0.01678180851954953
1971-03-18,00:00:00,357.56,357.56,357.56,357.56,1,357.53,BULLISH_DAILY_HIGH_BREAKOUT,1,0.0,-0.008390200246120808,-0.025170600738330624
1971-03-23,00:00:00,357.53,357.53,357.53,357.53,1,357.44,BULLISH_DAILY_HIGH_BREAKOUT,1,0.0,-0.01678180851954953,-0.030766648952523373
1971-03-30,00:00:00,357.49,357.49,357.49,357.49,1,357.44,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.0195809672997827,0.011189124171295313,0.01678368625695887
1971-04-01,00:00:00,357.49,357.49,357.49,357.49,1,357.42,BULLISH_DAILY_HIGH_BREAKOUT,1,0.011189124171295313,-0.008391843128487387,0.0027972810428238282
1971-04-02,00:00:00,357.53,357.53,357.53,357.53,1,357.49,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.008390904259774765,0.005593936173199076,-0.008390904259774765
1971-04-07,00:00:00,357.55,357.55,357.55,357.55,1,357.46,BULLISH_DAILY_HIGH_BREAKOUT,1,0.0,-0.013984058173685181,-0.013984058173685181
