trade_date,trade_time,open,high,low,close,volume,prev_daily_high,prev_daily_low,signal,forward_1,forward_3,forward_6
1985-02-12,00:00:00,261.4,263.5,261.4,262.95,2651,261.65,261.65,BULLISH_SWEEP,-0.0570450656018168,-1.9395322304620524,-0.6274957216200712
1985-02-18,00:00:00,255.45,260.15,255.4,255.45,9501,257.85,257.85,BEARISH_SWEEP,2.0551967116852614,2.4858093560383727,2.192209825797621
1985-03-25,00:00:00,255.55,256.95,255.5,256.9,1551,255.65,255.65,BULLISH_SWEEP,-0.6111327364733222,-1.595951732191501,-1.012066952121435
1985-03-26,00:00:00,256.9,257.0,254.68,255.33,3071,256.95,255.5,BEARISH_SWEEP,-0.6462225355422416,-1.85250460188776,-0.8537970469588402
1985-05-27,00:00:00,250.9,251.23,250.9,250.9,661,251.1,251.1,BEARISH_SWEEP,0.278995615783176,0.278995615783176,-0.7174172977281831
1985-07-04,00:00:00,248.0,248.14,247.43,247.7,1121,248.05,248.05,BEARISH_SWEEP,-0.2825999192571614,-1.392813887767456,-2.7250706499798145
1985-09-02,00:00:00,238.55,239.21,237.79,238.55,2841,239.0,239.0,BEARISH_SWEEP,0.39823936281701466,0.5868790609934929,1.7606371829805023
1986-10-13,00:00:00,154.24,154.8,153.81,154.2,1941,154.45,154.45,BEARISH_SWEEP,-0.1491569390402009,0.0,0.6225680933852192
1986-11-27,00:00:00,163.13,163.13,162.4,162.5,831,162.95,162.95,BEARISH_SWEEP,-0.27692307692306994,-0.3076923076923077,-0.049230769230776926
1987-01-02,00:00:00,158.2,158.65,157.75,158.65,1351,158.17,158.05,BULLISH_SWEEP,0.4727387330601954,-0.3781909864481527,-0.7563819728963234
1987-01-08,00:00:00,158.1,158.75,157.6,157.6,1801,158.7,157.4,BEARISH_SWEEP,0.4758883248730965,-1.2373096446700436,-2.791878172588836
1987-01-09,00:00:00,157.65,158.7,157.35,158.35,2001,158.75,157.6,BULLISH_SWEEP,-0.5683612251342001,-3.7890748342279763,-3.883801705083679
1987-01-12,00:00:00,158.4,158.4,156.7,157.45,2451,158.7,157.35,BULLISH_SWEEP,-1.143220069863438,-2.69926960939981,-3.1756113051762465
1987-01-20,00:00:00,152.4,153.0,150.8,152.45,4351,152.7,150.0,BEARISH_SWEEP,1.016726795670719,-0.0655952771400422,-0.5247622171203562
1987-01-22,00:00:00,153.95,154.8,151.5,152.35,5001,154.5,152.15,BEARISH_SWEEP,0.0,-0.8861174926156838,0.9189366590088649
1987-01-26,00:00:00,152.6,153.3,152.15,152.75,2151,152.35,152.35,BULLISH_SWEEP,-1.1456628477905073,-0.06546644844516812,-0.16366612111292964
1987-01-28,00:00:00,151.0,152.5,150.25,151.65,3851,152.85,151.0,BULLISH_SWEEP,0.6594131223211341,0.6264424662050699,1.3188262446422683
1987-02-03,00:00:00,152.6,152.7,151.9,152.5,1501,153.9,152.4,BULLISH_SWEEP,0.16393442622950818,1.2786885245901565,0.9836065573770493
1987-02-09,00:00:00,154.5,155.3,151.9,152.3,4601,155.0,153.35,BEARISH_SWEEP,0.7550886408404315,1.1162179908076089,0.7550886408404315
1987-02-12,00:00:00,153.95,154.4,153.3,154.0,2151,154.1,152.95,BEARISH_SWEEP,-0.25974025974026343,-0.3571428571428645,-0.25974025974026343
1987-02-16,00:00:00,154.0,154.05,153.25,153.6,1201,154.25,153.5,BULLISH_SWEEP,-0.0976562500000037,0.16276041666666669,0.0976562500000037
1987-02-17,00:00:00,153.5,153.65,153.0,153.45,1251,154.05,153.25,BULLISH_SWEEP,0.19550342130988033,0.09775171065494016,-0.032583903551634374
1987-02-19,00:00:00,154.0,155.0,153.65,153.85,2551,154.0,153.2,BEARISH_SWEEP,-0.16249593760155998,-0.0649983750406203,-0.38999025024374023
1987-02-23,00:00:00,153.6,155.0,153.35,153.8,3101,154.1,153.3,BEARISH_SWEEP,-0.032509752925885156,-0.5201560468140516,-0.13003901170352214
1987-02-27,00:00:00,153.05,153.55,153.0,153.25,901,153.5,152.9,BEARISH_SWEEP,0.3262642740619902,0.3588907014681967,0.4567699836867789
1987-03-03,00:00:00,153.75,153.85,153.4,153.6,751,153.75,153.2,BEARISH_SWEEP,0.13020833333334444,0.06510416666666297,0.06510416666666297
1987-03-05,00:00:00,153.8,154.3,153.1,153.45,2051,153.85,153.4,BEARISH_SWEEP,0.16291951775822747,0.19550342130988033,-0.6842619745845441
1987-03-10,00:00:00,153.9,154.05,153.45,153.75,1051,154.05,153.55,BULLISH_SWEEP,-0.032520325203259426,-0.8780487804878011,-1.2357723577235808
