trade_date,trade_time,open,high,low,close,volume,ema50,ema200,prev_ema50,prev_ema200,signal,forward_1,forward_3,forward_6
1971-01-05,00:00:00,357.81,357.81,357.81,357.81,1,357.733137254902,357.73079601990054,357.73,357.73,BULLISH_CROSS,0.013973896760853909,0.0027947793521676044,0.17607109918671793
1971-02-18,00:00:00,357.53,357.53,357.53,357.53,1,357.74952089073736,357.7539557173057,357.758480927094,357.7562065285349,BEARISH_CROSS,0.008390904259790664,0.005593936173199076,0.008390904259790664
1973-11-30,00:00:00,280.11,280.11,280.11,280.11,1,272.99496644240435,272.84624315560626,272.70455690944124,272.77324057425557,BULLISH_CROSS,0.0,0.0,0.0
1974-05-14,00:00:00,277.78,277.78,277.78,277.78,1,279.9556567777403,279.9580670049724,280.04445909519904,279.9799571256254,BEARISH_CROSS,-0.14039887680898064,-0.028799769601837458,0.7559939520483919
1974-06-04,00:00:00,282.89,282.89,282.89,282.89,1,280.0175810413459,279.94884509616423,279.9003394511967,279.919285750397,BULLISH_CROSS,-0.36763406270987437,-0.08483862985613104,0.02827954328539041
1975-03-07,00:00:00,285.96,285.96,285.96,285.96,1,293.27382343565824,293.4294645158617,293.5723468411953,293.50453451099594,BEARISH_CROSS,0.08742481465939293,0.4581060288152197,0.19932857742341348
1975-06-25,00:00:00,297.0,297.0,297.0,297.0,1,292.54067209770574,292.5395977122892,292.35865871393867,292.4947695485936,BULLISH_CROSS,-0.41414141414142025,-0.4444444444444422,-0.5319865319865267
1976-05-06,00:00:00,298.24,298.24,298.24,298.24,1,299.77960561905354,299.78377170694927,299.8424466647292,299.79928700048646,BEARISH_CROSS,0.09053111587982222,0.060354077253221165,0.18106223175964445
1976-06-14,00:00:00,299.94,299.94,299.94,299.94,1,299.74649580815145,299.74470241528024,299.7385976778719,299.74273962548403,BULLISH_CROSS,-0.06001200240048237,0.03000600120023171,-0.24004800960191053
1976-06-18,00:00:00,299.31,299.31,299.31,299.31,1,299.74427670683065,299.7443622599788,299.76200228670126,299.74872770982785,BEARISH_CROSS,0.0,-0.8319134008218934,-1.0958537970665962
1979-04-05,00:00:00,215.23,215.23,215.23,215.23,1,204.8001988713966,204.58386952040576,204.37449270288215,204.47687323417867,BULLISH_CROSS,-0.15332435069459838,-1.1522557264321842,0.31129489383451003
1980-06-04,00:00:00,221.4,221.4,221.4,221.4,1,234.58004164959533,234.7045196781055,235.11800253325228,234.83823344371459,BEARISH_CROSS,-0.47425474254743055,-2.2809394760614325,-2.2131887985546546
1981-05-15,00:00:00,223.05,223.05,223.05,223.05,1,214.59136364576966,214.56908109550406,214.24611318233167,214.48384572962973,BULLISH_CROSS,-0.4841963685272416,-1.0087424344317417,0.5828289621161098
1981-12-08,00:00:00,218.0,218.0,218.0,218.0,1,224.37696118719387,224.49965333225728,224.6372453172834,224.56497648132517,BEARISH_CROSS,0.1834862385321127,0.596330275229363,0.7798165137614627
1982-01-28,00:00:00,231.0,231.0,231.0,231.0,1,224.53701801783325,224.38232892000775,224.27322283488766,224.3158196629224,BULLISH_CROSS,-1.168831168831164,0.974025974025974,1.0822510822510822
1983-01-10,00:00:00,226.75,226.75,226.75,226.75,1,251.51812222249757,251.71256278025322,252.52906598668113,251.96344280819545,BEARISH_CROSS,0.9040793825799389,1.0363836824696777,2.381477398015438
1983-08-23,00:00:00,243.25,243.25,243.25,243.25,1,241.8826100502605,241.85119628995858,241.82679821557724,241.83713796121444,BULLISH_CROSS,-0.1438848920863286,0.9866392600205572,1.3155190133607353
