trade_date,trade_time,open,high,low,close,volume,prev_open,prev_close,prev_body_high,prev_body_low,curr_body_high,curr_body_low,prev_bearish,prev_bullish,curr_bullish,curr_bearish,signal,forward_1,forward_3,forward_6
1985-03-26,00:00:00,256.9,257.0,254.68,255.33,3071,255.55,256.9,256.9,255.55,256.9,255.33,False,True,False,True,BEARISH_ENGULFING,-0.6462225355422416,-1.85250460188776,-0.8537970469588402
1987-01-06,00:00:00,159.4,159.4,158.6,158.7,901,158.7,159.4,159.4,158.7,159.4,158.7,False,True,False,True,BEARISH_ENGULFING,-0.409577819785745,-0.22054190296155912,-4.001260239445491
1987-01-12,00:00:00,158.4,158.4,156.7,157.45,2451,157.65,158.35,158.35,157.65,158.4,157.45,False,True,False,True,BEARISH_ENGULFING,-1.143220069863438,-2.69926960939981,-3.1756113051762465
1987-01-27,00:00:00,152.8,152.85,151.0,151.0,1901,152.6,152.75,152.75,152.6,152.8,151.0,False,True,False,True,BEARISH_ENGULFING,0.4304635761589442,1.8211920529801324,1.1589403973509933
1987-02-02,00:00:00,153.85,153.9,152.4,152.6,1751,152.7,153.75,153.75,152.7,153.85,152.6,False,True,False,True,BEARISH_ENGULFING,-0.06553079947574988,0.6880733944954204,0.5570117955439019
1987-02-04,00:00:00,152.5,153.1,152.35,152.75,1251,152.6,152.5,152.6,152.5,152.75,152.5,True,False,True,False,BULLISH_ENGULFING,0.5891980360065503,-0.2945990180032659,0.8183306055646482
1987-02-09,00:00:00,154.5,155.3,151.9,152.3,4601,153.7,154.45,154.45,153.7,154.5,152.3,False,True,False,True,BEARISH_ENGULFING,0.7550886408404315,1.1162179908076089,0.7550886408404315
1987-02-13,00:00:00,154.0,154.25,153.5,153.6,1101,153.95,154.0,154.0,153.95,154.0,153.6,False,True,False,True,BEARISH_ENGULFING,0.0,0.0976562500000037,0.13020833333334444
1987-03-04,00:00:00,153.6,153.85,153.4,153.8,701,153.75,153.6,153.75,153.6,153.8,153.6,True,False,True,False,BULLISH_ENGULFING,-0.22756827048115913,0.0975292587776185,-0.22756827048115913
1987-03-05,00:00:00,153.8,154.3,153.1,153.45,2051,153.6,153.8,153.8,153.6,153.8,153.45,False,True,False,True,BEARISH_ENGULFING,0.16291951775822747,0.19550342130988033,-0.6842619745845441
1987-03-19,00:00:00,151.9,152.0,151.35,151.5,901,151.8,151.85,151.85,151.8,151.9,151.5,False,True,False,True,BEARISH_ENGULFING,-0.06600660066006225,-1.3861386138613823,-2.8712871287128676
1987-03-27,00:00:00,149.45,149.45,147.1,147.15,2401,149.4,149.45,149.45,149.4,149.45,147.15,False,True,False,True,BEARISH_ENGULFING,-0.6116207951070375,0.23785253143050922,-0.8154943934760563
