trade_date,trade_time,open,high,low,close,volume,prev_high,prev_low,signal,forward_1,forward_3,forward_6
1985-03-28,00:00:00,253.68,253.68,251.8,252.8,2881,255.33,251.6,BEARISH_INSIDEBAR,-0.8702531645569688,0.5933544303797468,0.8109177215189806
1987-01-06,00:00:00,159.4,159.4,158.6,158.7,901,159.75,158.25,BEARISH_INSIDEBAR,-0.409577819785745,-0.22054190296155912,-4.001260239445491
1987-01-15,00:00:00,152.2,154.4,151.8,153.2,4201,156.05,151.75,BULLISH_INSIDEBAR,0.0,-0.489556135770235,-0.5548302872062627
1987-01-16,00:00:00,153.25,154.35,153.1,153.2,2451,154.4,151.8,BEARISH_INSIDEBAR,-0.6527415143603134,0.5221932114882581,-0.29373368146213363
1987-02-02,00:00:00,153.85,153.9,152.4,152.6,1751,154.3,151.75,BEARISH_INSIDEBAR,-0.06553079947574988,0.6880733944954204,0.5570117955439019
1987-02-10,00:00:00,152.25,153.6,152.2,153.45,1601,155.3,151.9,BULLISH_INSIDEBAR,0.3584229390681078,0.09775171065494016,0.19550342130988033
1987-02-13,00:00:00,154.0,154.25,153.5,153.6,1101,154.4,153.3,BEARISH_INSIDEBAR,0.0,0.0976562500000037,0.13020833333334444
1987-02-24,00:00:00,153.85,154.15,153.65,153.75,901,155.0,153.35,BEARISH_INSIDEBAR,-0.22764227642276055,-0.3252032520325203,0.032520325203259426
1987-03-06,00:00:00,153.45,153.75,153.4,153.7,451,154.3,153.1,BULLISH_INSIDEBAR,0.16265452179570594,0.0,-1.3337670787247775
1987-03-25,00:00:00,149.5,149.95,148.65,149.45,2551,150.1,148.45,BEARISH_INSIDEBAR,0.0,-2.1411843425894874,-1.973904315824683
1987-03-26,00:00:00,149.4,149.7,149.0,149.45,1351,149.95,148.65,BULLISH_INSIDEBAR,-1.538976246236188,-2.0073603211776514,-2.2415523586483737
1987-03-31,00:00:00,146.15,146.65,145.3,146.45,2401,146.8,144.8,BULLISH_INSIDEBAR,0.7169682485490007,-0.23898941618299374,-0.3414134516899966
1987-04-13,00:00:00,142.8,142.8,141.8,142.1,1301,144.25,141.6,BEARISH_INSIDEBAR,-0.9852216748768513,0.633356790992263,0.35186488388458836
1987-05-28,00:00:00,143.45,143.75,143.05,143.5,1351,144.6,142.85,BULLISH_INSIDEBAR,0.27874564459930706,-1.707317073170724,0.34843205574912894
1987-06-19,00:00:00,144.7,145.15,144.4,144.85,1351,145.35,144.25,BULLISH_INSIDEBAR,0.966517086641357,-0.13807386952018547,1.3462202278218964
1987-06-26,00:00:00,146.3,146.45,145.5,146.4,1801,146.5,144.65,BULLISH_INSIDEBAR,0.27322404371585085,0.4098360655737666,1.741803278688513
1987-07-16,00:00:00,148.95,150.9,148.95,150.9,1951,151.5,148.35,BULLISH_INSIDEBAR,1.3916500994035748,0.6295559973492303,-0.9277667329357228
1987-08-06,00:00:00,150.9,151.55,150.65,151.5,1201,151.85,150.6,BULLISH_INSIDEBAR,0.19801980198020552,-0.1320132013201245,-0.924092409240928
1987-08-12,00:00:00,151.3,151.65,151.1,151.2,1001,151.9,150.9,BEARISH_INSIDEBAR,0.23148148148149653,-1.2566137566137416,-4.232804232804218
1987-08-31,00:00:00,142.2,142.65,141.7,142.55,1551,143.35,141.3,BULLISH_INSIDEBAR,-0.7716590669940531,-1.0171869519466974,-0.6664328305857713
1987-09-15,00:00:00,144.6,144.8,143.6,143.6,1401,145.0,143.4,BEARISH_INSIDEBAR,0.20891364902507753,-0.6963788300835655,0.2785515320334302
1987-09-21,00:00:00,142.7,143.65,142.6,143.15,1651,143.85,142.45,BULLISH_INSIDEBAR,0.8732099196646874,0.31435557107927947,2.4799161718477
1987-11-04,00:00:00,137.5,137.6,136.55,136.7,1301,137.85,136.1,BEARISH_INSIDEBAR,-1.2435991221653173,-1.682516459400134,-0.5852231163130819
1987-11-13,00:00:00,135.9,136.4,135.65,135.75,1351,136.7,134.7,BEARISH_INSIDEBAR,1.0313075506445715,-0.3683241252302026,-0.6629834254143688
1987-11-23,00:00:00,135.5,135.65,134.4,134.85,1851,136.1,134.05,BEARISH_INSIDEBAR,-0.03707823507599774,-0.31145717463847794,-1.038190582128295
1987-11-24,00:00:00,134.85,135.6,134.65,134.8,1851,135.65,134.4,BEARISH_INSIDEBAR,-0.14836795252226784,-1.0385756676557905,-1.6320474777448197
1987-12-07,00:00:00,132.9,133.15,132.5,133.1,1101,133.75,131.95,BULLISH_INSIDEBAR,-0.30052592036063536,-2.8925619834710705,-4.057099924868514
1988-01-07,00:00:00,129.55,130.75,127.75,130.4,5151,131.9,126.8,BULLISH_INSIDEBAR,-1.6104294478527563,-2.262269938650309,0.5751533742331288
1988-01-08,00:00:00,130.35,130.4,128.25,128.3,2251,130.75,127.75,BEARISH_INSIDEBAR,0.19485580670303973,-0.7404520654715643,1.1691348402182384
1988-01-14,00:00:00,127.35,127.35,126.05,126.1,1351,127.6,125.5,BEARISH_INSIDEBAR,4.004758128469478,1.9825535289452818,0.911974623314834
1988-02-09,00:00:00,128.9,129.4,128.8,128.85,1151,129.65,128.55,BEARISH_INSIDEBAR,0.19402405898331393,1.7462165308498252,1.0089251067132412
1988-02-15,00:00:00,131.3,131.6,130.05,130.15,1951,132.1,129.3,BEARISH_INSIDEBAR,0.23050326546291428,0.15366884364194286,-0.8835958509412261
1988-02-16,00:00:00,130.2,130.7,130.1,130.45,951,131.6,130.05,BULLISH_INSIDEBAR,-0.22997316979684398,-0.1533154465312293,-1.2648524338826965
1988-02-24,00:00:00,129.0,129.0,128.6,128.8,601,129.4,128.4,BEARISH_INSIDEBAR,-0.23291925465839391,-0.3881987577639751,0.31055900621116245
1988-03-03,00:00:00,129.5,129.55,129.0,129.2,801,129.7,128.4,BEARISH_INSIDEBAR,-0.38699690402476783,-1.006191950464383,-1.4705882352941113
