trade_date,trade_time,open,high,low,close,volume,london_high,london_low,signal,bullish_count,bearish_count,forward_1,forward_3,forward_6
1999-01-04,16:00:00,113.36,113.52,111.95,112.09,1715,113.89,113.29,BEARISH_LONDON_BREAKOUT,0,1,-0.1516638415558941,-0.1516638415558941,-0.8832188420019708
1999-01-06,12:00:00,112.44,112.57,111.65,111.86,1789,112.79,112.35,BEARISH_LONDON_BREAKOUT,0,1,0.7688181655640974,0.8582156266761969,-0.3665295905596251
1999-01-06,20:00:00,112.75,113.43,112.73,113.06,528,112.79,112.35,BULLISH_LONDON_BREAKOUT,1,1,-0.21227666725633212,-2.0962320891562043,-1.8397311162214738
1999-01-07,12:00:00,110.76,111.7,109.77,111.45,2779,110.95,110.02,BULLISH_LONDON_BREAKOUT,1,0,0.18842530282637393,0.053835800807539046,0.11664423508299278
1999-01-11,12:00:00,109.9,110.04,108.62,109.08,3138,111.0,109.77,BEARISH_LONDON_BREAKOUT,0,1,-0.22002200220021534,0.5683901723505725,3.1169783645031224
1999-01-13,16:00:00,112.11,114.13,111.86,113.39,2144,112.47,111.37,BULLISH_LONDON_BREAKOUT,1,0,-0.2381162359996437,0.05291471911103473,-0.14110591762941757
1999-01-14,12:00:00,113.8,114.35,113.52,114.15,1891,114.02,112.95,BULLISH_LONDON_BREAKOUT,1,0,-0.8059570740254066,-0.7095926412615,-0.9811651335961494
1999-01-15,16:00:00,113.05,114.21,112.84,114.07,1675,113.15,112.27,BULLISH_LONDON_BREAKOUT,1,0,0.07013237485755458,-0.3068291400017483,0.25422985885860105
1999-01-19,20:00:00,113.73,113.8,113.35,113.41,428,114.97,113.62,BEARISH_LONDON_BREAKOUT,0,1,0.03527025835464796,-0.09699321047526624,-0.40560797107838265
1999-01-20,20:00:00,113.44,113.52,112.66,112.95,483,113.61,113.0,BEARISH_LONDON_BREAKOUT,0,1,0.08853474988932654,-0.01770694997786279,0.6374501992031862
1999-01-21,12:00:00,112.94,112.96,112.32,112.51,1958,113.36,112.8,BEARISH_LONDON_BREAKOUT,0,1,0.9421384765798488,1.0399075637721107,1.2887743311705524
1999-01-21,16:00:00,112.57,113.68,112.5,113.57,1795,113.36,112.8,BULLISH_LONDON_BREAKOUT,1,1,0.0880514220304733,0.05283085321828147,0.9245399313199008
1999-01-25,16:00:00,114.06,114.28,113.57,113.82,1755,114.52,114.14,BEARISH_LONDON_BREAKOUT,0,1,0.09664382358110495,-0.16693024073097673,0.17571604287471698
1999-01-26,16:00:00,113.77,114.28,113.53,114.02,1540,113.72,113.32,BULLISH_LONDON_BREAKOUT,1,0,-0.1490966497105786,-0.2806525171022568,1.4909664971057734
1999-01-27,12:00:00,114.19,114.55,114.07,114.43,1779,114.37,113.57,BULLISH_LONDON_BREAKOUT,1,0,1.1273267499781456,0.935069474788074,1.3458009263305006
1999-01-28,12:00:00,115.31,116.04,115.25,115.97,2233,115.77,115.17,BULLISH_LONDON_BREAKOUT,1,0,0.3276709493834573,0.29317927050099457,0.0
1999-02-01,16:00:00,115.32,115.73,115.0,115.13,1534,115.75,115.35,BEARISH_LONDON_BREAKOUT,0,1,-0.052115000434293644,0.017371666811439444,-2.6491791887431577
1999-02-02,16:00:00,113.13,113.2,111.97,112.08,2301,115.2,112.8,BEARISH_LONDON_BREAKOUT,0,1,0.07137758743754309,0.04461099214846285,0.2765881513204874
1999-02-03,12:00:00,112.34,112.43,111.87,111.92,1634,112.53,112.07,BEARISH_LONDON_BREAKOUT,0,1,0.41994281629735425,1.143674052894926,1.367047891350966
1999-02-03,20:00:00,112.38,112.97,112.37,112.72,355,112.53,112.07,BULLISH_LONDON_BREAKOUT,1,1,0.4258339247693435,0.9315117104329286,-0.62100780695529
1999-02-04,16:00:00,113.46,113.51,111.6,112.03,2247,114.1,112.94,BEARISH_LONDON_BREAKOUT,0,1,-0.00892618048737402,0.10711416584843751,1.0532892975095889
1999-02-05,12:00:00,111.97,113.43,111.92,113.34,2268,112.3,111.34,BULLISH_LONDON_BREAKOUT,1,0,-0.11469913534498821,-0.2558673019234218,0.23822128110110818
1999-02-08,16:00:00,113.63,114.36,113.52,114.33,1790,113.81,113.13,BULLISH_LONDON_BREAKOUT,1,0,0.2099186565205938,0.22741187789731926,0.05247966413015156
1999-02-09,20:00:00,114.43,114.64,114.05,114.07,619,114.92,114.22,BEARISH_LONDON_BREAKOUT,0,1,-0.05259928114314724,0.8415884982905304,0.2366967651442187
1999-02-10,20:00:00,114.45,114.6,113.92,114.34,710,115.52,114.45,BEARISH_LONDON_BREAKOUT,0,1,-0.12244184012594067,-0.3935630575476673,0.2011544516354642
1999-02-11,16:00:00,114.24,114.83,113.95,114.69,1756,114.35,113.82,BULLISH_LONDON_BREAKOUT,1,0,-0.10462987182841096,-0.15694480774260408,-0.36620455139942604
1999-02-12,20:00:00,114.28,114.5,114.0,114.0,414,114.65,114.07,BEARISH_LONDON_BREAKOUT,0,1,0.02631578947368521,0.1929824561403499,1.3333333333333297
1999-02-15,12:00:00,114.2,114.75,114.17,114.67,1707,114.4,114.02,BULLISH_LONDON_BREAKOUT,1,0,0.8284642888288156,1.438911659544773,2.764454521670883
1999-02-16,12:00:00,117.37,117.96,117.14,117.84,2149,117.38,116.62,BULLISH_LONDON_BREAKOUT,1,0,0.19517990495586368,0.4243041412084182,0.670400543109294
1999-02-17,16:00:00,118.63,119.25,118.51,118.96,1563,118.63,117.98,BULLISH_LONDON_BREAKOUT,1,0,-0.0336247478143847,-0.21856086079353643,0.697713517148632
1999-02-18,12:00:00,118.91,119.9,118.85,119.74,1806,118.99,118.32,BULLISH_LONDON_BREAKOUT,1,0,0.04175714047103004,-0.041757140471018174,0.31735426757976426
1999-02-19,16:00:00,120.09,121.08,119.85,120.95,2078,120.3,119.7,BULLISH_LONDON_BREAKOUT,1,0,0.33071517155848823,0.7027697395617977,-0.48780487804878325
1999-02-22,12:00:00,122.27,122.37,121.22,121.34,1943,122.37,121.67,BEARISH_LONDON_BREAKOUT,0,1,-0.807647931432342,-0.4862370199439619,0.07417174880501352
1999-02-23,12:00:00,120.4,121.67,120.37,121.43,1936,120.76,119.8,BULLISH_LONDON_BREAKOUT,1,0,-0.04941118339784425,-0.2964671003870655,-0.0576463806308222
1999-02-24,16:00:00,121.34,122.1,121.15,121.88,1740,121.73,120.77,BULLISH_LONDON_BREAKOUT,1,0,-0.057433541188048234,-0.7630456186412804,-2.207088939940924
1999-02-25,16:00:00,120.51,120.63,119.11,119.19,2371,120.94,120.15,BEARISH_LONDON_BREAKOUT,0,1,0.36915848645020366,1.2836647369745795,-0.4782280392650333
1999-02-26,12:00:00,120.59,120.62,118.55,119.11,1855,120.97,120.27,BEARISH_LONDON_BREAKOUT,0,1,-0.41138443455628826,-0.01679120141045758,0.26026362186214613
1999-03-01,16:00:00,119.4,119.9,119.17,119.78,1591,119.66,118.86,BULLISH_LONDON_BREAKOUT,1,0,0.025045917515445933,0.20036734012355556,0.5677074636834134
1999-03-02,12:00:00,120.5,120.76,120.28,120.63,1631,120.53,119.95,BULLISH_LONDON_BREAKOUT,1,0,-0.14092680096161958,0.19895548371052732,0.696344192986822
1999-03-03,16:00:00,121.44,121.74,121.04,121.62,1822,121.47,120.83,BULLISH_LONDON_BREAKOUT,1,0,0.18089130077289825,0.8962341720111735,1.5786877158362123
1999-03-04,12:00:00,122.61,123.29,122.56,123.2,1701,122.85,122.21,BULLISH_LONDON_BREAKOUT,1,0,0.27597402597402876,0.12175324675323983,-0.3246753246753293
1999-03-09,12:00:00,121.42,122.1,121.27,121.96,1849,121.87,120.63,BULLISH_LONDON_BREAKOUT,1,0,-0.4345687110527935,-0.8691374221055986,-1.4758937356510309
1999-03-10,12:00:00,120.55,120.68,119.98,120.16,2063,121.38,120.38,BEARISH_LONDON_BREAKOUT,0,1,-0.28295605858855144,-0.5243009320905422,0.0749001331557951
1999-03-11,20:00:00,119.73,119.73,118.64,119.25,1080,121.05,119.43,BEARISH_LONDON_BREAKOUT,0,1,0.4109014675052368,0.6876310272536631,-0.3941299790356384
1999-03-12,16:00:00,119.55,119.9,118.84,119.03,1885,120.42,119.47,BEARISH_LONDON_BREAKOUT,0,1,-0.2100310846005209,-0.21843232798454598,-1.1425691002268332
1999-03-15,12:00:00,118.23,118.45,117.52,117.57,1938,118.8,117.95,BEARISH_LONDON_BREAKOUT,0,1,0.08505571149103387,-0.025516713447296866,0.6974568342264246
1999-03-16,12:00:00,117.75,118.49,117.64,118.39,1456,117.97,117.48,BULLISH_LONDON_BREAKOUT,1,0,-0.4983529014274883,-0.5236928794661749,0.3547596925416013
1999-03-17,16:00:00,118.82,118.85,118.09,118.14,1501,118.97,118.35,BEARISH_LONDON_BREAKOUT,0,1,-0.059251735229395114,0.14389707127137438,-0.5078720162518997
1999-03-18,12:00:00,118.35,118.45,117.84,117.91,1650,118.69,118.21,BEARISH_LONDON_BREAKOUT,0,1,-0.3137986599949032,-0.33924179458908615,-0.5851920956661841
1999-03-22,12:00:00,117.33,117.82,117.21,117.7,1515,117.62,117.2,BULLISH_LONDON_BREAKOUT,1,0,0.39932030586236095,0.7221750212404369,0.654205607476632
1999-03-23,16:00:00,118.49,118.49,117.81,118.0,1532,118.77,118.34,BEARISH_LONDON_BREAKOUT,0,1,0.042372881355929794,-0.423728813559322,-0.5593220338983022
1999-03-24,16:00:00,117.67,117.74,117.12,117.34,1569,117.8,117.37,BEARISH_LONDON_BREAKOUT,0,1,0.4772456110448289,0.8010908471109576,0.5965570138060362
1999-03-24,20:00:00,117.3,118.17,117.29,117.9,617,117.8,117.37,BULLISH_LONDON_BREAKOUT,1,1,0.025445292620866103,0.20356234096691678,0.21204410517387615
