trade_date,trade_time,open,high,low,close,volume,ny_high,ny_low,signal,bullish_count,bearish_count,forward_1,forward_3,forward_6
1999-01-04,20:00:00,112.11,112.17,111.57,111.92,369,113.52,111.95,BEARISH_NEWYORK_BREAKOUT,0,1,-0.017869907076479646,-0.7594710507505437,-0.5271622587562576
1999-01-06,20:00:00,112.75,113.43,112.73,113.06,528,112.78,111.83,BULLISH_NEWYORK_BREAKOUT,1,0,-0.21227666725633212,-2.0962320891562043,-1.8397311162214738
1999-01-08,20:00:00,111.51,111.56,110.8,110.8,216,111.9,110.98,BEARISH_NEWYORK_BREAKOUT,0,1,-0.39711191335739865,-0.7851985559566701,-1.913357400722013
1999-01-19,20:00:00,113.73,113.8,113.35,113.41,428,113.97,113.42,BEARISH_NEWYORK_BREAKOUT,0,1,0.03527025835464796,-0.09699321047526624,-0.40560797107838265
1999-01-20,20:00:00,113.44,113.52,112.66,112.95,483,114.06,113.37,BEARISH_NEWYORK_BREAKOUT,0,1,0.08853474988932654,-0.01770694997786279,0.6374501992031862
1999-02-03,20:00:00,112.38,112.97,112.37,112.72,355,112.42,111.8,BULLISH_NEWYORK_BREAKOUT,1,0,0.4258339247693435,0.9315117104329286,-0.62100780695529
1999-02-08,20:00:00,114.36,115.0,114.34,114.57,693,114.36,113.52,BULLISH_NEWYORK_BREAKOUT,1,0,0.07855459544383644,-0.008728288382640226,-0.4364144191324082
1999-02-09,20:00:00,114.43,114.64,114.05,114.07,619,114.88,114.2,BEARISH_NEWYORK_BREAKOUT,0,1,-0.05259928114314724,0.8415884982905304,0.2366967651442187
1999-02-10,20:00:00,114.45,114.6,113.92,114.34,710,115.43,114.38,BEARISH_NEWYORK_BREAKOUT,0,1,-0.12244184012594067,-0.3935630575476673,0.2011544516354642
1999-02-16,20:00:00,118.05,118.86,118.04,118.62,432,118.33,117.72,BULLISH_NEWYORK_BREAKOUT,1,0,-0.23604788399932652,-0.30349013657056095,0.2529084471421321
1999-02-19,20:00:00,120.94,121.45,120.62,121.35,533,121.08,119.85,BULLISH_NEWYORK_BREAKOUT,1,0,0.32962505150391896,0.7169344870210174,-0.37906880922949626
1999-03-02,20:00:00,120.47,120.59,120.15,120.2,343,120.87,120.22,BEARISH_NEWYORK_BREAKOUT,0,1,0.5574043261231295,0.8985024958402649,1.364392678868553
1999-03-03,20:00:00,121.63,121.9,121.54,121.84,330,121.74,121.04,BULLISH_NEWYORK_BREAKOUT,1,0,0.2626395272488453,0.6565988181221251,1.2147078135259273
1999-03-08,20:00:00,121.71,122.17,121.45,121.48,614,121.97,121.58,BEARISH_NEWYORK_BREAKOUT,0,1,0.01646361540994075,-0.0658544616397747,-0.3704313467237429
1999-03-09,20:00:00,121.4,121.48,120.88,121.03,534,122.0,121.28,BEARISH_NEWYORK_BREAKOUT,0,1,-0.10741138560687058,-0.39659588531769313,-1.0658514417912965
1999-03-11,20:00:00,119.73,119.73,118.64,119.25,1080,120.5,119.47,BEARISH_NEWYORK_BREAKOUT,0,1,0.4109014675052368,0.6876310272536631,-0.3941299790356384
1999-03-12,20:00:00,119.01,119.35,118.67,118.78,465,119.9,118.84,BEARISH_NEWYORK_BREAKOUT,0,1,0.42936521299882563,-0.4630409159791187,-0.9008250547230235
1999-03-17,20:00:00,118.13,118.3,117.59,118.07,788,118.85,118.09,BEARISH_NEWYORK_BREAKOUT,0,1,0.49123401372068476,0.254086558821048,-0.43194714999575756
1999-03-24,20:00:00,117.3,118.17,117.29,117.9,617,117.74,117.12,BULLISH_NEWYORK_BREAKOUT,1,0,0.025445292620866103,0.20356234096691678,0.21204410517387615
