trade_date,trade_time,open,high,low,close,volume,prev_20_high,prev_20_low,signal,forward_1,forward_3,forward_6
1971-02-01,00:00:00,357.67,357.67,357.67,357.67,1,358.44,357.72,BEARISH_20_BAR_BREAKOUT,-0.03355047949227068,-0.0447339726563662,-0.04752984594738611
1971-02-02,00:00:00,357.55,357.55,357.55,357.55,1,358.44,357.67,BEARISH_20_BAR_BREAKOUT,-0.002796811634733857,-0.0055936232694836115,-0.013984058173685181
1971-02-03,00:00:00,357.54,357.54,357.54,357.54,1,358.44,357.55,BEARISH_20_BAR_BREAKOUT,-0.008390669575440386,-0.013984449292390046,-0.011187559433915214
1971-02-04,00:00:00,357.51,357.51,357.51,357.51,1,358.44,357.54,BEARISH_20_BAR_BREAKOUT,0.005594249111907866,-0.002797124555953933,0.005594249111907866
1971-02-08,00:00:00,357.49,357.49,357.49,357.49,1,358.44,357.51,BEARISH_20_BAR_BREAKOUT,0.0027972810428238282,0.0027972810428238282,0.011189124171295313
1971-03-04,00:00:00,357.45,357.45,357.45,357.45,1,357.63,357.49,BEARISH_20_BAR_BREAKOUT,0.03916631696740421,0.0027975940690980294,0.036368722898306186
1971-03-22,00:00:00,357.44,357.44,357.44,357.44,1,357.63,357.45,BEARISH_20_BAR_BREAKOUT,0.025179051029536423,0.008393017009856075,0.013988361683082859
1971-03-31,00:00:00,357.42,357.42,357.42,357.42,1,357.59,357.44,BEARISH_20_BAR_BREAKOUT,0.019584802193495936,0.022382631078278797,0.03637177550220901
1971-04-13,00:00:00,357.62,357.62,357.62,357.62,1,357.56,357.42,BULLISH_20_BAR_BREAKOUT,-0.0111850567641688,-0.022370113528321706,-0.03635143448352873
1971-04-29,00:00:00,357.41,357.41,357.41,357.41,1,357.62,357.46,BEARISH_20_BAR_BREAKOUT,-0.00279790716545361,-0.00279790716545361,0.0
1971-04-30,00:00:00,357.4,357.4,357.4,357.4,1,357.62,357.41,BEARISH_20_BAR_BREAKOUT,0.002797985450489018,0.0,-0.07274762171236455
1971-05-10,00:00:00,357.14,357.14,357.14,357.14,1,357.62,357.4,BEARISH_20_BAR_BREAKOUT,0.08400067200537924,0.09800078400627843,0.08400067200537924
1971-06-28,00:00:00,357.37,357.37,357.37,357.37,1,357.46,357.4,BEARISH_20_BAR_BREAKOUT,0.005596440663732773,0.008394660995599159,0.025183982986813385
1971-07-23,00:00:00,357.36,357.36,357.36,357.36,1,357.46,357.37,BEARISH_20_BAR_BREAKOUT,0.011193194537710886,0.011193194537710886,0.013991493172154512
1971-08-09,00:00:00,357.35,357.35,357.35,357.35,1,357.44,357.36,BEARISH_20_BAR_BREAKOUT,0.011193507765485831,0.01399188470685729,-4.572547922205129
1971-08-31,00:00:00,339.85,339.85,339.85,339.85,1,357.41,357.35,BEARISH_20_BAR_BREAKOUT,0.34132705605413216,0.08533176401352467,-0.2295130204502073
1971-09-02,00:00:00,338.98,338.98,338.98,338.98,1,357.41,339.85,BEARISH_20_BAR_BREAKOUT,0.34220307982770903,0.12095108855978765,0.0
1971-09-10,00:00:00,338.81,338.81,338.81,338.81,1,357.41,338.98,BEARISH_20_BAR_BREAKOUT,0.05017561465128418,-0.11806026976770971,-0.45453203860571423
1971-09-14,00:00:00,338.24,338.24,338.24,338.24,1,357.41,338.81,BEARISH_20_BAR_BREAKOUT,0.05026017029328758,-0.08573793755913567,-0.23651844843898157
1971-09-16,00:00:00,337.84,337.84,337.84,337.84,1,357.4,338.24,BEARISH_20_BAR_BREAKOUT,0.03255979161733769,-0.14799905280606204,-0.2545583708264139
1971-09-20,00:00:00,337.27,337.27,337.27,337.27,1,357.4,337.84,BEARISH_20_BAR_BREAKOUT,0.02075488481038728,0.0,-0.2698135025350515
1971-09-24,00:00:00,336.98,336.98,336.98,336.98,1,357.4,337.27,BEARISH_20_BAR_BREAKOUT,-0.2166300670663001,-0.41842245830613833,-1.1306308979761417
1971-09-27,00:00:00,336.25,336.25,336.25,336.25,1,357.4,336.98,BEARISH_20_BAR_BREAKOUT,0.03271375464684421,-0.267657992565049,-0.9249070631970301
1971-09-29,00:00:00,335.57,335.57,335.57,335.57,1,341.01,336.25,BEARISH_20_BAR_BREAKOUT,-0.06556009178411969,-0.7152010012813951,-0.8820812349137228
1971-09-30,00:00:00,335.35,335.35,335.35,335.35,1,341.01,335.57,BEARISH_20_BAR_BREAKOUT,-0.5844639928433089,-0.659012971522301,-0.8886238258535911
1971-10-01,00:00:00,333.39,333.39,333.39,333.39,1,340.14,335.35,BEARISH_20_BAR_BREAKOUT,-0.06598878190706693,-0.22196226641471223,-0.860853654878672
1971-10-04,00:00:00,333.17,333.17,333.17,333.17,1,340.14,333.39,BEARISH_20_BAR_BREAKOUT,-0.00900441216196823,-0.1680823603565754,-0.5312603175556139
1971-10-05,00:00:00,333.14,333.14,333.14,333.14,1,339.79,333.17,BEARISH_20_BAR_BREAKOUT,-0.14708530947950085,-0.23113405775349155,-0.6873986912409089
1971-10-06,00:00:00,332.65,332.65,332.65,332.65,1,339.39,333.14,BEARISH_20_BAR_BREAKOUT,-0.012024650533582933,-0.6403126409138722,-0.6222756651134806
1971-10-07,00:00:00,332.61,332.61,332.61,332.61,1,339.07,332.65,BEARISH_20_BAR_BREAKOUT,-0.07215657977812125,-0.36378942304802514,-0.9049637713839003
1971-10-08,00:00:00,332.37,332.37,332.37,332.37,1,338.98,332.61,BEARISH_20_BAR_BREAKOUT,-0.5566085988506853,-0.45732165959622767,-0.45732165959622767
1971-10-12,00:00:00,330.52,330.52,330.52,330.52,1,338.98,332.37,BEARISH_20_BAR_BREAKOUT,0.2662471257412548,0.018153213118722703,0.16640445358828856
1971-10-18,00:00:00,329.6,329.6,329.6,329.6,1,337.95,330.52,BEARISH_20_BAR_BREAKOUT,0.37924757281553395,0.3610436893203876,-0.01820388349514632
1971-10-26,00:00:00,329.0,329.0,329.0,329.0,1,336.98,329.6,BEARISH_20_BAR_BREAKOUT,0.16413373860182992,0.1519756838905775,0.5683890577507612
1971-11-15,00:00:00,328.73,328.73,328.73,328.73,1,331.07,329.0,BEARISH_20_BAR_BREAKOUT,-0.03346211176345744,-0.015210050801573135,-0.16426854865695872
1971-11-16,00:00:00,328.62,328.62,328.62,328.62,1,331.07,328.73,BEARISH_20_BAR_BREAKOUT,0.05477451159394037,-0.06694662528148844,-0.17649564846935187
1971-11-19,00:00:00,328.4,328.4,328.4,328.4,1,331.07,328.62,BEARISH_20_BAR_BREAKOUT,0.0030450669914883523,-0.10962241169304411,-0.29232643118147983
1971-11-23,00:00:00,328.19,328.19,328.19,328.19,1,330.87,328.4,BEARISH_20_BAR_BREAKOUT,-0.04570523172551792,-0.34431274566561915,-0.667296383192662
1971-11-24,00:00:00,328.04,328.04,328.04,328.04,1,330.87,328.19,BEARISH_20_BAR_BREAKOUT,-0.1341299841482739,-0.18290452383856318,-0.8962321668089249
1971-11-26,00:00:00,327.6,327.6,327.6,327.6,1,330.87,328.04,BEARISH_20_BAR_BREAKOUT,-0.16483516483517108,0.0,-0.32661782661784183
1971-11-29,00:00:00,327.06,327.06,327.06,327.06,1,330.87,327.6,BEARISH_20_BAR_BREAKOUT,0.11618663242218413,-0.3240995535987288,-1.051794777716626
1971-12-02,00:00:00,326.0,326.0,326.0,326.0,1,330.87,327.06,BEARISH_20_BAR_BREAKOUT,-0.27607361963189486,-0.7300613496932501,-0.8895705521472322
1971-12-03,00:00:00,325.1,325.1,325.1,325.1,1,330.87,326.0,BEARISH_20_BAR_BREAKOUT,0.4398646570285911,-0.4921562596124339,-0.7105505998154421
1971-12-07,00:00:00,323.62,323.62,323.62,323.62,1,329.49,325.1,BEARISH_20_BAR_BREAKOUT,-0.03708052654347833,-0.16068228168839435,-2.706878437673812
1971-12-08,00:00:00,323.5,323.5,323.5,323.5,1,329.49,323.62,BEARISH_20_BAR_BREAKOUT,0.006182380216377684,-0.2194744976816011,-2.6398763523956785
1971-12-10,00:00:00,323.1,323.1,323.1,323.1,1,329.49,323.5,BEARISH_20_BAR_BREAKOUT,-0.09594552770040304,-2.550294026617149,-3.4323738780563393
1971-12-13,00:00:00,322.79,322.79,322.79,322.79,1,329.49,323.1,BEARISH_20_BAR_BREAKOUT,-0.0650577775024122,-2.4257257040181046,-3.1878310976176523
1971-12-14,00:00:00,322.58,322.58,322.58,322.58,1,328.8,322.79,BEARISH_20_BAR_BREAKOUT,-2.3932047864095636,-2.3932047864095636,-2.972905945811884
