trade_date,trade_time,open,high,low,close,volume,prev_daily_high,signal,breakout_count,forward_1,forward_3,forward_6
2004-06-15,16:00:00,384.1,388.6,383.8,387.6,1174,385.8,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.0773993808049565,0.2579979360165119,-0.980392156862748
2004-06-16,00:00:00,388.6,389.8,387.1,389.1,53,388.6,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.1285016705217168,-0.8995116936520174,-1.3621177075302007
2004-06-18,12:00:00,387.8,394.6,387.5,393.3,521,389.3,BULLISH_DAILY_HIGH_BREAKOUT,1,0.5593694380879707,0.0508517670989038,0.4322400203407039
2004-06-24,12:00:00,396.6,401.8,395.3,400.3,501,396.6,BULLISH_DAILY_HIGH_BREAKOUT,1,0.2498126405196103,0.2498126405196103,0.2997751686235295
2004-06-28,12:00:00,401.8,404.6,400.8,403.6,408,402.8,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.9910802775024776,-1.0654112983151662,-1.610505450941526
2004-07-02,12:00:00,394.0,399.8,391.3,397.8,446,395.8,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.1759678230266437,0.07541478129713709,-1.3071895424836573
2004-07-07,16:00:00,397.8,403.1,397.6,402.0,420,398.8,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.04975124378109169,-0.6716417910447733,1.4925373134328357
2004-07-08,12:00:00,401.3,404.8,401.3,404.3,210,403.1,BULLISH_DAILY_HIGH_BREAKOUT,1,0.9151620084095939,0.7420232500618353,0.5688844917140765
2004-07-16,16:00:00,404.5,407.1,404.3,406.6,406,405.1,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.12297097884899162,-0.02459419576980392,-0.3689129365469749
2004-07-27,08:00:00,390.8,392.6,390.3,392.6,120,392.1,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.3820682628629648,-1.6556291390728475,-1.5537442689760628
2004-08-02,00:00:00,390.3,393.3,390.3,392.1,56,391.8,BULLISH_DAILY_HIGH_BREAKOUT,1,0.051007396072427595,-0.12751849018107625,-0.38255547054322875
2004-08-06,16:00:00,399.6,400.0,397.6,399.3,1303,393.0,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.12521913348359628,-0.25043826696719257,0.0
2004-08-13,16:00:00,395.8,399.1,395.3,398.1,1323,397.3,BULLISH_DAILY_HIGH_BREAKOUT,1,0.0,0.5526249686008512,1.0550113036925368
2004-08-16,00:00:00,398.3,400.1,398.3,399.8,47,399.1,BULLISH_DAILY_HIGH_BREAKOUT,1,0.12506253126563283,0.625312656328164,0.5002501250625313
