trade_date,trade_time,open,high,low,close,volume,ema200,signal,forward_1,forward_3,forward_6
2004-06-11,12:00:00,383.6,384.3,383.3,383.8,62,383.6019900497513,BULLISH_ABOVE_EMA200,0.07816571130797587,-0.26055237102657636,-0.1823866597186005
2004-06-11,16:00:00,383.8,384.8,383.8,384.1,37,383.60694537263936,BULLISH_ABOVE_EMA200,-0.286383754230675,-0.46862796146837055,-0.39052330122363965
2004-06-14,00:00:00,384.3,384.5,382.3,383.0,72,383.6009061152002,BEARISH_BELOW_EMA200,-0.05221932114882209,0.3394255874673659,0.07832898172324056
2004-06-14,04:00:00,382.8,383.3,382.3,382.8,155,383.5929369001236,BEARISH_BELOW_EMA200,-0.13061650992685475,0.07836990595611582,-0.18286311389759366
2004-06-14,08:00:00,383.1,383.8,382.1,382.3,148,383.5800718563413,BEARISH_BELOW_EMA200,0.5231493591420351,0.07847240387130823,-0.13078733978550877
2004-06-14,12:00:00,382.3,385.8,381.8,384.3,412,383.58723532045735,BULLISH_ABOVE_EMA200,-0.31225604996096507,-0.2602133749674733,-0.13010668748373666
2004-06-14,16:00:00,384.1,385.1,382.5,383.1,954,383.582387207816,BEARISH_BELOW_EMA200,-0.1305142260506395,-0.261028452101279,1.1746280344557556
2004-06-14,20:00:00,383.3,383.8,382.6,382.6,141,383.5726122107233,BEARISH_BELOW_EMA200,0.18295870360689717,-0.20909566126503168,1.228437009932041
2004-06-15,00:00:00,382.8,383.6,382.3,383.3,91,383.56989965141264,BEARISH_BELOW_EMA200,-0.31307070180015356,0.1304461257500652,1.5131750587007595
2004-06-15,04:00:00,383.3,383.8,382.0,382.1,147,383.55527378423443,BEARISH_BELOW_EMA200,-0.0785134781470849,1.439413766029835,1.7011253598534413
2004-06-15,08:00:00,382.6,383.3,381.1,381.8,168,383.53780837344607,BEARISH_BELOW_EMA200,0.5238344683080147,1.4405447878470403,1.388161341016242
2004-06-15,12:00:00,381.3,384.3,381.1,383.8,155,383.5404172453521,BULLISH_ABOVE_EMA200,0.9900990099009931,1.3809275664408576,0.4689942678478404
2004-06-15,16:00:00,384.1,388.6,383.8,387.6,1174,383.5808111036073,BULLISH_ABOVE_EMA200,-0.0773993808049565,0.2579979360165119,-0.980392156862748
2004-06-15,20:00:00,387.5,388.6,387.0,387.3,228,383.6178179582978,BULLISH_ABOVE_EMA200,0.4647560030983763,-0.05163955589981632,-0.9553317841466534
2004-06-16,00:00:00,388.6,389.8,387.1,389.1,53,383.67236703333964,BULLISH_ABOVE_EMA200,-0.1285016705217168,-0.8995116936520174,-1.3621177075302007
2004-06-16,04:00:00,388.8,389.3,388.1,388.6,148,383.72139820713727,BULLISH_ABOVE_EMA200,-0.3860010293360782,-1.2352032938754531,-1.363870303654146
2004-06-16,08:00:00,389.0,389.0,386.8,387.1,165,383.75501613542446,BULLISH_ABOVE_EMA200,-0.3874967708602428,-0.9041591320072331,-0.645827951433738
2004-06-16,12:00:00,386.8,387.3,384.8,385.6,283,383.7733741838282,BULLISH_ABOVE_EMA200,-0.466804979253115,-0.466804979253115,0.3112033195020717
2004-06-16,16:00:00,385.5,385.8,382.6,383.8,1098,383.77363911732243,BULLISH_ABOVE_EMA200,-0.052110474205312306,-0.13027618551328818,0.9119332985930172
2004-06-16,20:00:00,383.6,384.6,383.5,383.6,265,383.7719113649113,BEARISH_BELOW_EMA200,0.05213764337851632,0.2606882168925964,1.2252346193952002
2004-06-17,00:00:00,383.8,384.6,383.3,383.8,85,383.7721908538177,BULLISH_ABOVE_EMA200,-0.13027618551328818,0.781657113079729,0.9900990099009931
2004-06-17,04:00:00,383.3,384.3,383.0,383.3,133,383.7674924373618,BEARISH_BELOW_EMA200,0.33915992695017255,1.0435690060005216,0.7826767545003913
2004-06-17,08:00:00,383.6,385.8,383.3,384.6,215,383.7757760947015,BULLISH_ABOVE_EMA200,0.5720228809152337,0.9620384815392586,0.8320332813312502
2004-06-17,12:00:00,384.8,387.6,384.6,386.8,364,383.80586787485373,BULLISH_ABOVE_EMA200,0.12926577042399173,0.20682523267838968,1.6804550155118922
2004-06-17,16:00:00,386.6,387.6,384.3,387.3,634,383.84063535868603,BULLISH_ABOVE_EMA200,0.2581977794990963,-0.2581977794990963,2.1172217918925864
2004-06-17,20:00:00,387.1,389.3,387.1,388.3,118,383.88500714616185,BULLISH_ABOVE_EMA200,-0.18027298480555978,-0.12876641771825906,1.545197012619109
2004-06-18,00:00:00,388.1,389.1,387.1,387.6,81,383.9219722491851,BULLISH_ABOVE_EMA200,-0.33539731682146834,1.4705882352941146,1.5221878224974141
2004-06-18,04:00:00,387.8,388.3,386.3,386.3,138,383.9456342168549,BULLISH_ABOVE_EMA200,0.38829924928811804,2.381568728967121,1.8897230132021774
2004-06-18,08:00:00,385.8,388.3,385.8,387.8,205,383.9839861151947,BULLISH_ABOVE_EMA200,1.4182568334192882,1.6761217122227952,1.2893243940175347
2004-06-18,12:00:00,387.8,394.6,387.5,393.3,521,384.07668277076493,BULLISH_ABOVE_EMA200,0.5593694380879707,0.0508517670989038,0.4322400203407039
2004-06-18,16:00:00,393.1,395.8,393.1,395.5,1287,384.190347618817,BULLISH_ABOVE_EMA200,-0.3034134007585306,-0.48040455120100567,-0.6068268015170613
2004-06-18,20:00:00,395.6,395.6,394.3,394.3,54,384.2909411748487,BULLISH_ABOVE_EMA200,-0.20289119959422044,-0.38042099923915795,-0.3043367993913235
2004-06-21,00:00:00,394.3,394.8,392.8,393.5,58,384.3825736009696,BULLISH_ABOVE_EMA200,0.02541296060991683,0.3811944091486658,0.20330368487929135
2004-06-21,04:00:00,393.3,394.1,393.1,393.6,95,384.4742892865321,BULLISH_ABOVE_EMA200,-0.20325203252032809,-0.12703252032520324,0.0
2004-06-21,08:00:00,393.6,393.8,392.3,392.8,60,384.55713217920345,BULLISH_ABOVE_EMA200,0.5600814663951091,0.07637474541751817,0.3054989816700582
2004-06-21,12:00:00,393.3,396.8,393.3,395.0,223,384.6610413117487,BULLISH_ABOVE_EMA200,-0.4810126582278423,-0.17721518987341486,-0.3544303797468297
2004-06-21,16:00:00,395.1,396.3,392.1,393.1,940,384.7450110499403,BULLISH_ABOVE_EMA200,0.0,0.1271940981938438,0.5596540320529099
