trade_date,trade_time,open,high,low,close,volume,ema20,ema50,distance_to_ema20_pct,signal,forward_1,forward_3,forward_6
2004-06-11,12:00:00,383.6,384.3,383.3,383.8,62,383.6190476190476,383.6078431372549,0.04716981132076474,BULLISH_EMA20_PULLBACK,0.07816571130797587,-0.26055237102657636,-0.1823866597186005
2004-06-11,16:00:00,383.8,384.8,383.8,384.1,37,383.66485260770975,383.6271434063822,0.11341862287687994,BULLISH_EMA20_PULLBACK,-0.286383754230675,-0.46862796146837055,-0.39052330122363965
2004-06-14,16:00:00,384.1,385.1,382.5,383.1,954,383.45594697023836,383.5340543219444,-0.09282603987517812,BEARISH_EMA20_PULLBACK,-0.1305142260506395,-0.261028452101279,1.1746280344557556
2004-06-17,08:00:00,383.6,385.8,383.3,384.6,215,384.60935087326766,384.18857953218645,-0.0024312651906158948,BULLISH_EMA20_PULLBACK,0.5720228809152337,0.9620384815392586,0.8320332813312502
2004-07-01,16:00:00,394.3,395.3,392.6,395.0,913,394.9437610524212,394.7968274637989,0.014239735659810092,BULLISH_EMA20_PULLBACK,0.0,-0.10126582278480437,0.5316455696202589
2004-07-02,04:00:00,394.8,395.0,394.3,394.6,89,394.9030187947908,394.796583171544,-0.07673245844398963,BEARISH_EMA20_PULLBACK,-0.07602635580334804,0.6335529650278763,0.9376583882412539
2004-07-02,08:00:00,394.8,394.8,393.8,394.3,107,394.84558843338215,394.7771093216795,-0.1381776697941218,BEARISH_EMA20_PULLBACK,0.8876489982247019,0.8876489982247019,-0.6340349987319299
2004-07-13,08:00:00,403.6,404.8,403.1,404.3,84,404.6342164685051,401.3302566584967,-0.08259718404982937,BULLISH_EMA20_PULLBACK,-0.6183527083848627,-0.7914914667326214,-0.17313875834775874
2004-07-14,08:00:00,402.1,404.1,401.8,403.6,87,403.45434924479713,401.4618671219184,0.03610092578640658,BULLISH_EMA20_PULLBACK,0.3716551040634291,0.2973240832507405,-0.2477700693756194
2004-07-15,16:00:00,402.8,405.1,400.8,403.8,1072,403.61262925149265,402.0990821054587,0.04642341069823434,BULLISH_EMA20_PULLBACK,-0.17335314512134437,-0.17335314512134437,0.6934125804853917
2004-07-16,04:00:00,402.1,403.6,402.0,403.1,62,403.38488543742454,402.1708340730573,-0.07062372629941133,BULLISH_EMA20_PULLBACK,0.2480774001488464,0.8682709005209625,0.8434631605060722
2004-07-19,16:00:00,404.3,406.1,403.8,405.1,294,404.70146708025277,403.2096148913527,0.09847577836139257,BULLISH_EMA20_PULLBACK,0.0,0.04937052579609692,-1.3823747222907978
2004-07-19,20:00:00,405.0,405.8,404.3,405.1,148,404.7394225964192,403.28374764071145,0.08908877748248176,BULLISH_EMA20_PULLBACK,0.12342631449024932,0.12342631449024932,-1.0614663046161468
2004-07-30,16:00:00,390.1,391.8,389.1,389.3,1450,388.79308113881586,391.79597925972854,0.13038268574618875,BEARISH_EMA20_PULLBACK,0.30824556896994315,0.770613922424865,0.462368353454922
2004-08-03,00:00:00,391.1,391.8,390.1,390.6,104,390.2853474470531,391.7282544553653,0.08062115449763972,BEARISH_EMA20_PULLBACK,0.0,-0.3840245775729646,0.6912442396313334
2004-08-04,20:00:00,391.8,392.3,391.1,391.5,374,391.14045854132434,391.6553738770471,0.09192131645406833,BEARISH_EMA20_PULLBACK,0.1277139208173691,0.07662835249042436,0.025542784163479628
2004-08-05,12:00:00,392.0,392.0,390.3,390.8,479,391.3158935709089,391.66260094589586,-0.1318355782079649,BEARISH_EMA20_PULLBACK,0.12794268167860798,0.12794268167860798,0.12794268167860798
2004-08-06,00:00:00,391.5,392.1,391.0,391.3,39,391.3376216394411,391.6328963873903,-0.009613601494153244,BEARISH_EMA20_PULLBACK,-0.05111167901865286,0.0,1.661129568106312
2004-08-06,12:00:00,391.8,392.1,391.1,391.3,104,391.3812057904035,391.6181500861666,-0.02074851556540389,BEARISH_EMA20_PULLBACK,2.0444671607462306,1.661129568106312,1.7889087656529516
2004-08-11,12:00:00,395.3,397.6,395.3,396.1,158,396.5901497600939,394.8455498193691,-0.12359100708637351,BULLISH_EMA20_PULLBACK,-0.5806614491290106,-0.25246149962130776,-0.12623074981065388
2004-08-12,04:00:00,395.0,396.1,395.0,395.8,101,396.03453245759323,394.8473125106334,-0.059220203889248355,BULLISH_EMA20_PULLBACK,0.05053057099544938,-0.5053057099545225,-0.5053057099545225
2004-08-12,08:00:00,395.6,396.1,394.8,396.0,106,396.0312436521082,394.89251594158895,-0.007889188696339179,BULLISH_EMA20_PULLBACK,-0.10101010101009526,-0.6818181818181789,-0.8838383838383838
2004-08-25,12:00:00,404.6,405.3,403.8,405.1,583,405.6446608103508,403.9944068786787,-0.13427042507171214,BULLISH_EMA20_PULLBACK,0.4937052579609973,0.17279684028634623,0.6665020982473435
2004-08-26,04:00:00,405.5,406.3,405.1,405.6,145,405.8465188962713,404.33497981340304,-0.06074190236784102,BULLISH_EMA20_PULLBACK,-0.07396449704142291,0.1232741617357002,0.2465483234714004
2004-08-26,20:00:00,406.3,407.6,405.8,406.5,216,406.0443436072468,404.6453833024748,0.11221838203808443,BULLISH_EMA20_PULLBACK,0.024600246002465617,0.024600246002465617,-1.0332103321033184
2004-08-27,00:00:00,406.3,407.1,405.6,406.6,132,406.09726326369946,404.7220349376719,0.12379712492031988,BULLISH_EMA20_PULLBACK,0.0,0.12297097884899162,-0.8116084604033476
2004-08-30,12:00:00,403.8,405.6,403.8,405.6,127,405.1174344447956,404.6658063665026,0.11911744945407302,BULLISH_EMA20_PULLBACK,0.3698224852071006,0.29585798816567765,0.17258382642997747
2004-09-13,04:00:00,401.3,401.3,400.6,400.8,62,400.3945998147324,401.855544746993,0.10125016307792904,BEARISH_EMA20_PULLBACK,0.0,0.7485029940119761,0.5738522954091845
2004-09-13,08:00:00,401.1,401.3,400.1,400.8,155,400.43320935618647,401.81415083534625,0.09159845768118681,BEARISH_EMA20_PULLBACK,-0.249500998003992,0.6237524950099801,0.7485029940119761
2004-09-13,12:00:00,400.6,400.8,398.8,399.8,392,400.37290370321637,401.7351645280778,-0.14309252647152912,BEARISH_EMA20_PULLBACK,1.0005002501250626,0.5752876438219138,1.3256628314157106
2004-09-16,00:00:00,403.3,404.8,403.3,404.0,27,403.40313257586735,402.85571723920225,0.147958053850859,BULLISH_EMA20_PULLBACK,-0.09900990099009338,0.07425742574257707,0.02475247524753038
2004-09-20,12:00:00,403.3,404.3,402.8,404.1,381,404.11720746038986,403.49918446829446,-0.004258037042762527,BULLISH_EMA20_PULLBACK,0.12373174956693887,-0.0247463499133934,1.0393466963622837
2004-09-20,16:00:00,404.1,405.0,403.3,404.6,838,404.16318770225746,403.54235370483195,0.10807819985435131,BULLISH_EMA20_PULLBACK,-0.07414730598121881,-0.1977261492832455,0.9144834404349946
2004-09-27,04:00:00,406.8,407.6,406.6,407.1,31,407.54892629277333,406.19042303005796,-0.11015273598115435,BULLISH_EMA20_PULLBACK,0.09825595676737342,0.46671579464504476,0.6140997297961188
