trade_date,trade_time,open,high,low,close,volume,ema50,sma50,prev_ema50,prev_sma50,signal,forward_1,forward_3,forward_6
2004-06-29,16:00:00,396.8,397.6,390.3,391.5,1281,395.71901682648047,395.79200000000003,395.8912215949082,395.654,BEARISH_CROSS,0.15325670498084873,0.1277139208173691,0.45977011494253167
2004-07-09,00:00:00,407.1,407.3,407.1,407.3,3,397.751512916373,397.606,397.3617787496943,397.48600000000005,BULLISH_CROSS,-0.4173827645470142,-0.171863491284063,-0.12275963663147557
2004-07-15,20:00:00,403.5,404.1,402.6,403.1,329,402.1383337875976,402.244,402.0990821054587,402.074,BEARISH_CROSS,-0.2728851401637367,0.2480774001488464,0.7442322004465393
2004-07-30,20:00:00,389.3,390.8,389.3,390.5,332,391.74515654366076,391.648,391.79597925972854,391.874,BULLISH_CROSS,0.40973111395647194,0.7170294494238185,0.15364916773368062
2004-08-13,20:00:00,398.3,399.1,397.6,398.1,336,394.93337110322335,394.948,394.80412094417125,394.76800000000003,BEARISH_CROSS,0.4270283848279298,0.30143180105500844,0.9294147199196153
2004-08-16,00:00:00,398.3,400.1,398.3,399.8,47,395.12421929525385,395.08200000000005,394.93337110322335,394.948,BULLISH_CROSS,0.12506253126563283,0.625312656328164,0.5002501250625313
2004-08-25,08:00:00,404.8,405.3,403.6,404.8,322,403.9492806288289,404.048,403.9145573891892,403.814,BEARISH_CROSS,0.0741106719367617,0.4940711462450593,0.12351778656126483
2004-09-14,20:00:00,406.3,406.6,404.6,404.8,164,402.3877603962208,402.264,402.2893016368829,402.3500000000001,BULLISH_CROSS,0.0,0.0,-0.04940711462450312
2004-10-07,16:00:00,417.6,419.1,416.7,417.8,2092,414.6650191353129,414.684,414.5370607326726,414.478,BEARISH_CROSS,-0.16754427955959517,0.04786979415988239,1.1728099569171797
2004-10-20,20:00:00,423.8,424.2,422.8,423.6,102,417.98679989171364,417.98199999999997,417.7576896832121,417.95599999999996,BULLISH_CROSS,0.14164305949007694,0.3777148253068852,-0.07082152974504517
2004-10-29,04:00:00,423.8,426.1,423.3,425.6,76,423.5345028781316,423.60799999999995,423.4501968731574,423.432,BEARISH_CROSS,0.16447368421052364,0.16447368421052364,0.8223684210526315
2004-11-05,16:00:00,428.7,433.6,424.5,433.1,806,425.90797840355543,425.902,425.6144265016597,425.802,BULLISH_CROSS,0.0,0.32325098129761654,-0.13853613484184316
2004-11-16,00:00:00,435.8,436.1,434.8,435.3,118,433.15341338987025,433.1600000000001,433.06579760986494,432.914,BEARISH_CROSS,0.11486331265793705,0.3905352630369834,0.6891798759476223
2004-11-18,00:00:00,444.3,444.7,444.1,444.3,22,435.9972244141517,435.914,435.65833561472925,435.69,BULLISH_CROSS,0.09002925950933542,-0.2925950934053593,-0.607697501688046
2004-11-30,04:00:00,451.8,452.0,450.3,451.8,92,446.14207585966017,446.16,445.91114018046255,445.866,BEARISH_CROSS,-0.13280212483400236,-0.6861443116423246,-0.11066843736166444
2004-12-17,00:00:00,436.7,438.0,436.6,437.8,58,440.3293537763186,440.13200000000006,440.4325927059642,440.43800000000005,BULLISH_CROSS,0.22841480127912286,0.11420740063956143,0.6852444038373686
2004-12-30,04:00:00,435.8,436.2,435.6,436.0,57,440.9523251312567,440.9839999999999,441.1544608508998,441.09,BEARISH_CROSS,-0.20642201834861862,0.2981651376146815,-0.5504587155963251
2005-01-12,08:00:00,422.3,422.8,421.0,421.1,117,425.59579141133196,425.5760000000001,425.7792931015904,425.87,BULLISH_CROSS,0.0949893137022031,1.116124436000947,1.0686297791498456
2005-02-01,00:00:00,422.0,422.1,421.0,421.5,56,424.2152184243741,424.23199999999997,424.3260436661853,424.258,BEARISH_CROSS,0.04744958481613016,-0.1660735468564623,-0.09489916963226032
2005-02-11,04:00:00,416.8,418.1,416.7,417.8,48,416.18964457481684,416.098,416.12391578195223,416.17800000000005,BULLISH_CROSS,-0.23934897079942558,0.4547630445189031,1.0052656773575845
2005-03-01,16:00:00,434.6,435.0,430.3,431.3,1325,430.98539357744943,430.99,430.97255249897796,430.85799999999995,BEARISH_CROSS,0.16230002318571496,0.0,0.09274287039183336
2005-03-09,16:00:00,439.3,441.1,438.5,440.7,533,433.95625621659167,433.934,433.68100136828923,433.77,BULLISH_CROSS,-0.09076469253459889,0.2269117313365101,0.29498525073746573
2005-03-16,16:00:00,441.6,443.5,441.2,442.6,516,439.159475848209,439.20599999999996,439.019046290993,438.93,BEARISH_CROSS,0.045187528242202575,0.11296882060551287,-1.016719385449616
2005-03-31,08:00:00,426.3,427.3,425.8,426.6,144,428.4718832557962,428.314,428.5482866539919,428.552,BULLISH_CROSS,0.1640881387716804,0.28129395218002545,0.1640881387716804
2005-04-15,16:00:00,424.3,425.3,422.8,424.6,669,425.9079550292931,425.91,425.96134094885605,425.874,BEARISH_CROSS,-0.18841262364578695,-0.3297220913801305,0.4945831370701756
2005-04-19,20:00:00,432.8,433.5,431.8,433.5,284,426.36113141394,426.25199999999995,426.0697490226722,426.12199999999996,BULLISH_CROSS,-0.2768166089965372,-0.3921568627450954,0.023068050749716896
2005-04-28,08:00:00,431.3,432.2,431.0,432.0,205,431.9722640318441,432.00800000000004,431.97113195151115,431.834,BEARISH_CROSS,0.1851851851851878,-0.2777777777777751,0.06944444444444707
2005-05-12,12:00:00,424.8,426.0,423.8,425.0,323,427.36120451814026,427.31,427.4575802127582,427.466,BULLISH_CROSS,-0.9882352941176444,-1.129411764705885,-0.8941176470588261
2005-05-13,00:00:00,421.3,422.1,420.2,420.2,98,426.614482743098,426.69199999999995,426.8762983652652,426.86,BEARISH_CROSS,0.09519276534984153,0.23798191337458352,-0.38077106139932554
2005-05-20,04:00:00,420.1,420.3,420.1,420.2,36,421.86867490755753,421.84200000000004,421.9367840874578,421.944,BULLISH_CROSS,0.023798191337463765,-0.7615421227986646,-0.7615421227986646
2005-06-14,04:00:00,426.8,427.2,426.1,427.2,78,423.7585363620149,423.78,423.6180684584237,423.532,BEARISH_CROSS,-0.2106741573033655,-0.0936329588014928,-0.1404494382022392
2005-06-16,16:00:00,433.1,435.8,432.3,434.8,415,426.05095034297415,425.98800000000006,425.69384627534043,425.784,BULLISH_CROSS,0.0689972401103982,0.22999080036798528,0.8049678012879485
