trade_date,trade_time,open,high,low,close,volume,prev_open,prev_close,prev_body_high,prev_body_low,curr_body_high,curr_body_low,prev_bearish,prev_bullish,curr_bullish,curr_bearish,signal,forward_1,forward_3,forward_6
2004-06-14,00:00:00,384.3,384.5,382.3,383.0,72,383.8,384.1,384.1,383.8,384.3,383.0,False,True,False,True,BEARISH_ENGULFING,-0.05221932114882209,0.3394255874673659,0.07832898172324056
2004-06-14,12:00:00,382.3,385.8,381.8,384.3,412,383.1,382.3,383.1,382.3,384.3,382.3,True,False,True,False,BULLISH_ENGULFING,-0.31225604996096507,-0.2602133749674733,-0.13010668748373666
2004-06-15,04:00:00,383.3,383.8,382.0,382.1,147,382.8,383.3,383.3,382.8,383.3,382.1,False,True,False,True,BEARISH_ENGULFING,-0.0785134781470849,1.439413766029835,1.7011253598534413
2004-06-15,12:00:00,381.3,384.3,381.1,383.8,155,382.6,381.8,382.6,381.8,383.8,381.3,True,False,True,False,BULLISH_ENGULFING,0.9900990099009931,1.3809275664408576,0.4689942678478404
2004-06-18,08:00:00,385.8,388.3,385.8,387.8,205,387.8,386.3,387.8,386.3,387.8,385.8,True,False,True,False,BULLISH_ENGULFING,1.4182568334192882,1.6761217122227952,1.2893243940175347
2004-06-21,08:00:00,393.6,393.8,392.3,392.8,60,393.3,393.6,393.6,393.3,393.6,392.8,False,True,False,True,BEARISH_ENGULFING,0.5600814663951091,0.07637474541751817,0.3054989816700582
2004-06-21,16:00:00,395.1,396.3,392.1,393.1,940,393.3,395.0,395.0,393.3,395.1,393.1,False,True,False,True,BEARISH_ENGULFING,0.0,0.1271940981938438,0.5596540320529099
2004-06-22,16:00:00,393.6,396.3,393.3,395.3,611,394.1,393.6,394.1,393.6,395.3,393.6,True,False,True,False,BULLISH_ENGULFING,-0.25297242600556535,-0.17708069820389288,-0.25297242600556535
2004-06-23,04:00:00,393.6,395.3,393.6,394.6,140,394.6,393.8,394.6,393.8,394.6,393.6,True,False,True,False,BULLISH_ENGULFING,0.12671059300557527,-0.07602635580334804,-0.25342118601115055
2004-06-23,12:00:00,395.1,395.8,393.6,394.8,274,394.8,395.1,395.1,394.8,395.1,394.8,False,True,False,True,BEARISH_ENGULFING,-0.12664640324214793,-0.3039513677811521,1.393110435663627
