trade_date,trade_time,open,high,low,close,volume,prev_high,prev_low,signal,forward_1,forward_3,forward_6
2004-06-11,16:00:00,383.8,384.8,383.8,384.1,37,384.3,383.3,BULLISH_HIGHER_HIGH_LOW,-0.286383754230675,-0.46862796146837055,-0.39052330122363965
2004-06-14,00:00:00,384.3,384.5,382.3,383.0,72,384.8,383.8,BEARISH_LOWER_HIGH_LOW,-0.05221932114882209,0.3394255874673659,0.07832898172324056
2004-06-15,00:00:00,382.8,383.6,382.3,383.3,91,383.8,382.6,BEARISH_LOWER_HIGH_LOW,-0.31307070180015356,0.1304461257500652,1.5131750587007595
2004-06-15,08:00:00,382.6,383.3,381.1,381.8,168,383.8,382.0,BEARISH_LOWER_HIGH_LOW,0.5238344683080147,1.4405447878470403,1.388161341016242
2004-06-15,16:00:00,384.1,388.6,383.8,387.6,1174,384.3,381.1,BULLISH_HIGHER_HIGH_LOW,-0.0773993808049565,0.2579979360165119,-0.980392156862748
2004-06-16,00:00:00,388.6,389.8,387.1,389.1,53,388.6,387.0,BULLISH_HIGHER_HIGH_LOW,-0.1285016705217168,-0.8995116936520174,-1.3621177075302007
2004-06-16,08:00:00,389.0,389.0,386.8,387.1,165,389.3,388.1,BEARISH_LOWER_HIGH_LOW,-0.3874967708602428,-0.9041591320072331,-0.645827951433738
2004-06-16,12:00:00,386.8,387.3,384.8,385.6,283,389.0,386.8,BEARISH_LOWER_HIGH_LOW,-0.466804979253115,-0.466804979253115,0.3112033195020717
2004-06-16,16:00:00,385.5,385.8,382.6,383.8,1098,387.3,384.8,BEARISH_LOWER_HIGH_LOW,-0.052110474205312306,-0.13027618551328818,0.9119332985930172
2004-06-17,04:00:00,383.3,384.3,383.0,383.3,133,384.6,383.3,BEARISH_LOWER_HIGH_LOW,0.33915992695017255,1.0435690060005216,0.7826767545003913
2004-06-17,08:00:00,383.6,385.8,383.3,384.6,215,384.3,383.0,BULLISH_HIGHER_HIGH_LOW,0.5720228809152337,0.9620384815392586,0.8320332813312502
2004-06-17,12:00:00,384.8,387.6,384.6,386.8,364,385.8,383.3,BULLISH_HIGHER_HIGH_LOW,0.12926577042399173,0.20682523267838968,1.6804550155118922
2004-06-17,20:00:00,387.1,389.3,387.1,388.3,118,387.6,384.3,BULLISH_HIGHER_HIGH_LOW,-0.18027298480555978,-0.12876641771825906,1.545197012619109
2004-06-18,04:00:00,387.8,388.3,386.3,386.3,138,389.1,387.1,BEARISH_LOWER_HIGH_LOW,0.38829924928811804,2.381568728967121,1.8897230132021774
2004-06-18,12:00:00,387.8,394.6,387.5,393.3,521,388.3,385.8,BULLISH_HIGHER_HIGH_LOW,0.5593694380879707,0.0508517670989038,0.4322400203407039
2004-06-18,16:00:00,393.1,395.8,393.1,395.5,1287,394.6,387.5,BULLISH_HIGHER_HIGH_LOW,-0.3034134007585306,-0.48040455120100567,-0.6068268015170613
2004-06-21,00:00:00,394.3,394.8,392.8,393.5,58,395.6,394.3,BEARISH_LOWER_HIGH_LOW,0.02541296060991683,0.3811944091486658,0.20330368487929135
2004-06-21,08:00:00,393.6,393.8,392.3,392.8,60,394.1,393.1,BEARISH_LOWER_HIGH_LOW,0.5600814663951091,0.07637474541751817,0.3054989816700582
2004-06-21,12:00:00,393.3,396.8,393.3,395.0,223,393.8,392.3,BULLISH_HIGHER_HIGH_LOW,-0.4810126582278423,-0.17721518987341486,-0.3544303797468297
2004-06-21,16:00:00,395.1,396.3,392.1,393.1,940,396.8,393.3,BEARISH_LOWER_HIGH_LOW,0.0,0.1271940981938438,0.5596540320529099
2004-06-22,00:00:00,393.3,394.6,392.8,394.3,74,393.6,392.6,BULLISH_HIGHER_HIGH_LOW,-0.1775297996449375,-0.1775297996449375,-0.12680699974638598
2004-06-22,08:00:00,393.5,394.0,392.3,394.0,152,394.6,393.1,BEARISH_LOWER_HIGH_LOW,-0.10152284263958815,0.07614213197969831,0.279187817258889
2004-06-22,12:00:00,394.1,394.8,393.0,393.6,225,394.0,392.3,BULLISH_HIGHER_HIGH_LOW,0.4319105691056881,0.05081300813007841,0.3048780487804849
2004-06-22,16:00:00,393.6,396.3,393.3,395.3,611,394.8,393.0,BULLISH_HIGHER_HIGH_LOW,-0.25297242600556535,-0.17708069820389288,-0.25297242600556535
2004-06-23,00:00:00,394.6,394.6,393.6,393.8,84,395.6,394.0,BEARISH_LOWER_HIGH_LOW,0.2031488065007647,0.25393600812595224,-0.050787201625187565
2004-06-23,08:00:00,394.8,396.6,394.6,395.1,195,395.3,393.6,BULLISH_HIGHER_HIGH_LOW,-0.07593014426727698,0.050620096178179856,0.3796507213363705
2004-06-23,12:00:00,395.1,395.8,393.6,394.8,274,396.6,394.6,BEARISH_LOWER_HIGH_LOW,-0.12664640324214793,-0.3039513677811521,1.393110435663627
2004-06-23,16:00:00,394.6,395.3,392.3,394.3,897,395.8,393.6,BEARISH_LOWER_HIGH_LOW,0.25361399949277197,-0.1775297996449375,1.7752979964494038
2004-06-24,08:00:00,393.6,397.8,393.6,396.6,213,394.1,393.3,BULLISH_HIGHER_HIGH_LOW,0.9329299041855745,1.437216338880481,1.1850731215330277
2004-06-24,12:00:00,396.6,401.8,395.3,400.3,501,397.8,393.6,BULLISH_HIGHER_HIGH_LOW,0.2498126405196103,0.2498126405196103,0.2997751686235295
2004-06-24,20:00:00,401.1,402.8,400.8,402.3,135,401.3,398.8,BULLISH_HIGHER_HIGH_LOW,-0.24857071836937608,-0.24857071836937608,-0.29828486204324844
2004-06-25,00:00:00,402.0,402.1,400.1,401.3,69,402.8,400.8,BEARISH_LOWER_HIGH_LOW,-0.07475703962123383,0.04983802641415117,0.07475703962123383
2004-06-25,20:00:00,401.5,402.6,400.6,401.1,202,402.1,400.1,BULLISH_HIGHER_HIGH_LOW,0.12465719272001993,0.24931438544003987,-0.32410870107205464
2004-06-28,12:00:00,401.8,404.6,400.8,403.6,408,402.3,400.6,BULLISH_HIGHER_HIGH_LOW,-0.9910802775024776,-1.0654112983151662,-1.610505450941526
2004-06-28,16:00:00,403.8,404.3,398.8,399.6,1077,404.6,400.8,BEARISH_LOWER_HIGH_LOW,0.0500500500500472,-0.07507507507507792,-2.0270270270270325
2004-06-29,00:00:00,400.6,400.8,399.3,399.3,56,400.6,399.1,BULLISH_HIGHER_HIGH_LOW,0.0,-0.5509641873278208,-1.8031555221637838
2004-06-29,04:00:00,399.3,399.6,399.0,399.3,101,400.8,399.3,BEARISH_LOWER_HIGH_LOW,-0.5008765339343851,-1.9534184823441052,-1.8281993488605086
2004-06-29,12:00:00,396.8,397.8,395.3,397.1,366,399.6,396.8,BEARISH_LOWER_HIGH_LOW,-1.410224124905571,-1.2591286829513975,-0.956937799043065
2004-06-29,16:00:00,396.8,397.6,390.3,391.5,1281,397.8,395.3,BEARISH_LOWER_HIGH_LOW,0.15325670498084873,0.1277139208173691,0.45977011494253167
2004-06-30,00:00:00,391.1,393.0,391.1,392.1,64,392.3,391.0,BULLISH_HIGHER_HIGH_LOW,-0.025503698036221052,0.3060443764345801,0.5610813567967327
2004-06-30,12:00:00,393.1,394.3,392.5,393.3,292,393.1,391.1,BULLISH_HIGHER_HIGH_LOW,0.0,0.25425883549453343,0.20340706839562964
2004-06-30,16:00:00,392.8,396.3,392.8,393.3,1172,394.3,392.5,BULLISH_HIGHER_HIGH_LOW,-0.4322400203407039,0.25425883549453343,0.4322400203407039
2004-06-30,20:00:00,393.5,393.8,391.3,391.6,287,396.3,392.8,BEARISH_LOWER_HIGH_LOW,0.6894790602655742,0.38304392236976503,0.868232890704795
2004-07-01,00:00:00,392.3,394.8,391.5,394.3,38,393.8,391.3,BULLISH_HIGHER_HIGH_LOW,0.0,-0.05072279989855152,0.12680699974638598
2004-07-01,08:00:00,393.8,394.3,392.5,393.1,182,394.6,393.5,BEARISH_LOWER_HIGH_LOW,0.2543881963876876,0.4833375731366007,0.30526583566522225
2004-07-01,12:00:00,393.5,395.8,393.1,394.1,268,394.3,392.5,BULLISH_HIGHER_HIGH_LOW,0.22836843440750498,0.17761989342806103,0.9388480081197637
2004-07-01,16:00:00,394.3,395.3,392.6,395.0,913,395.8,393.1,BEARISH_LOWER_HIGH_LOW,0.0,-0.10126582278480437,0.5316455696202589
2004-07-01,20:00:00,395.1,395.8,394.6,395.0,216,395.3,392.6,BULLISH_HIGHER_HIGH_LOW,-0.05063291139240218,-0.17721518987341486,0.7088607594936738
2004-07-02,08:00:00,394.8,394.8,393.8,394.3,107,395.0,394.3,BEARISH_LOWER_HIGH_LOW,0.8876489982247019,0.8876489982247019,-0.6340349987319299
2004-07-06,08:00:00,397.8,398.8,397.8,398.1,40,398.3,397.3,BULLISH_HIGHER_HIGH_LOW,0.050238633509165694,-1.381562421502135,-0.5023863350916855
2004-07-06,12:00:00,398.3,398.6,397.6,398.3,117,398.8,397.8,BEARISH_LOWER_HIGH_LOW,-1.631935726839066,-1.5566156163695677,-0.12553351744915892
2004-07-06,16:00:00,398.3,398.3,388.5,391.8,711,398.6,397.6,BEARISH_LOWER_HIGH_LOW,0.20418580908627143,0.7146503318019426,2.6033690658499204
2004-07-07,04:00:00,394.1,394.6,394.1,394.6,8,392.3,392.1,BULLISH_HIGHER_HIGH_LOW,0.3801317790167258,1.8753167764825078,1.1910795742524045
2004-07-07,08:00:00,394.6,396.3,394.3,396.1,77,394.6,394.1,BULLISH_HIGHER_HIGH_LOW,0.4291845493562203,1.4390305478414511,1.3885382479171926
2004-07-07,12:00:00,396.3,398.3,396.1,397.8,162,396.3,394.3,BULLISH_HIGHER_HIGH_LOW,1.0558069381598765,0.703871292106589,1.6339869281045754
2004-07-07,16:00:00,397.8,403.1,397.6,402.0,420,398.3,396.1,BULLISH_HIGHER_HIGH_LOW,-0.04975124378109169,-0.6716417910447733,1.4925373134328357
2004-07-08,00:00:00,402.1,402.3,400.3,400.6,28,402.6,401.1,BEARISH_LOWER_HIGH_LOW,-0.3245132301547706,0.9236145781327979,1.6724912631053392
2004-07-08,04:00:00,400.6,400.8,399.3,399.3,38,402.3,400.3,BEARISH_LOWER_HIGH_LOW,0.5760080140245457,2.1788129226145725,1.577761081893316
2004-07-08,12:00:00,401.3,404.8,401.3,404.3,210,401.6,399.3,BULLISH_HIGHER_HIGH_LOW,0.9151620084095939,0.7420232500618353,0.5688844917140765
2004-07-08,16:00:00,404.3,408.1,403.5,408.0,458,404.8,401.3,BULLISH_HIGHER_HIGH_LOW,-0.17156862745097762,-0.5882352941176415,-0.17156862745097762
2004-07-08,20:00:00,407.8,408.6,406.6,407.3,126,408.1,403.5,BULLISH_HIGHER_HIGH_LOW,0.0,-0.4910385465259023,-0.04910385465258743
2004-07-09,04:00:00,405.8,406.6,405.1,405.6,43,407.3,407.1,BEARISH_LOWER_HIGH_LOW,-0.07396449704142291,0.41913214990137787,0.29585798816567765
2004-07-09,08:00:00,405.3,406.3,405.0,405.3,72,406.6,405.1,BEARISH_LOWER_HIGH_LOW,0.320750061682707,0.4441154700222085,0.616827041697508
2004-07-09,12:00:00,405.6,407.8,405.6,406.6,185,406.3,405.0,BULLISH_HIGHER_HIGH_LOW,0.1721593703885855,0.049188391539593854,0.0
2004-07-12,08:00:00,407.3,408.3,406.8,407.8,63,407.3,406.5,BULLISH_HIGHER_HIGH_LOW,-0.29426189308484274,-0.24521824423737126,-0.8582638548307995
2004-07-12,16:00:00,406.5,407.8,405.0,406.1,429,408.3,405.8,BEARISH_LOWER_HIGH_LOW,0.17237133710908362,-0.566362964787001,-1.3050972666830858
2004-07-12,20:00:00,406.3,408.3,406.3,406.8,150,407.8,405.0,BULLISH_HIGHER_HIGH_LOW,-0.2949852507374603,-0.6145526057030481,-1.401179941002947
2004-07-13,00:00:00,407.3,407.3,405.3,405.6,48,408.3,406.3,BEARISH_LOWER_HIGH_LOW,-0.4437869822485235,-0.9368836291913242,-0.887573964497047
2004-07-13,04:00:00,405.1,405.3,403.1,403.8,76,407.3,405.3,BEARISH_LOWER_HIGH_LOW,0.12382367508667656,-0.7429420505200593,-0.4210004952946976
2004-07-13,12:00:00,404.3,404.3,400.6,401.8,214,404.8,403.1,BEARISH_LOWER_HIGH_LOW,-0.24888003982080636,0.049776007964158445,0.8213041314086638
2004-07-13,16:00:00,401.6,402.1,399.6,400.8,846,404.3,400.6,BEARISH_LOWER_HIGH_LOW,0.07485029940120044,0.3243512974051925,0.8233532934131765
2004-07-14,00:00:00,400.8,403.1,400.8,402.0,84,402.1,400.6,BULLISH_HIGHER_HIGH_LOW,0.02487562189055292,0.7711442786069709,0.3233830845771173
2004-07-14,04:00:00,402.1,403.3,402.1,402.1,105,403.1,400.8,BULLISH_HIGHER_HIGH_LOW,0.37304153195722456,0.4973887092762994,0.12434717731907485
2004-07-14,12:00:00,403.3,405.8,402.0,405.1,196,404.1,401.8,BULLISH_HIGHER_HIGH_LOW,-0.24685262898049865,-0.4443347321649004,-0.19748210318440168
2004-07-15,00:00:00,405.1,405.1,403.3,403.3,69,405.3,403.8,BEARISH_LOWER_HIGH_LOW,-0.17356806347631754,0.24795437639474338,-0.32234068931316917
2004-07-15,04:00:00,403.6,404.3,402.6,402.6,110,405.1,403.3,BEARISH_LOWER_HIGH_LOW,0.0,0.2980625931445575,0.12419274714356682
