trade_date,trade_time,open,high,low,close,volume,london_high,london_low,signal,bullish_count,bearish_count,forward_1,forward_3,forward_6
2004-06-14,12:00:00,382.3,385.8,381.8,384.3,412,383.8,382.1,BULLISH_LONDON_BREAKOUT,1,0,-0.31225604996096507,-0.2602133749674733,-0.13010668748373666
2004-06-15,12:00:00,381.3,384.3,381.1,383.8,155,383.3,381.1,BULLISH_LONDON_BREAKOUT,1,0,0.9900990099009931,1.3809275664408576,0.4689942678478404
2004-06-16,12:00:00,386.8,387.3,384.8,385.6,283,389.0,386.8,BEARISH_LONDON_BREAKOUT,0,1,-0.466804979253115,-0.466804979253115,0.3112033195020717
2004-06-17,12:00:00,384.8,387.6,384.6,386.8,364,385.8,383.3,BULLISH_LONDON_BREAKOUT,1,0,0.12926577042399173,0.20682523267838968,1.6804550155118922
2004-06-18,12:00:00,387.8,394.6,387.5,393.3,521,388.3,385.8,BULLISH_LONDON_BREAKOUT,1,0,0.5593694380879707,0.0508517670989038,0.4322400203407039
2004-06-21,12:00:00,393.3,396.8,393.3,395.0,223,393.8,392.3,BULLISH_LONDON_BREAKOUT,1,0,-0.4810126582278423,-0.17721518987341486,-0.3544303797468297
2004-06-22,16:00:00,393.6,396.3,393.3,395.3,611,394.0,392.3,BULLISH_LONDON_BREAKOUT,1,0,-0.25297242600556535,-0.17708069820389288,-0.25297242600556535
2004-06-23,16:00:00,394.6,395.3,392.3,394.3,897,396.6,394.6,BEARISH_LONDON_BREAKOUT,0,1,0.25361399949277197,-0.1775297996449375,1.7752979964494038
2004-06-24,12:00:00,396.6,401.8,395.3,400.3,501,397.8,393.6,BULLISH_LONDON_BREAKOUT,1,0,0.2498126405196103,0.2498126405196103,0.2997751686235295
2004-06-28,12:00:00,401.8,404.6,400.8,403.6,408,402.3,400.6,BULLISH_LONDON_BREAKOUT,1,0,-0.9910802775024776,-1.0654112983151662,-1.610505450941526
2004-06-28,16:00:00,403.8,404.3,398.8,399.6,1077,402.3,400.6,BEARISH_LONDON_BREAKOUT,1,1,0.0500500500500472,-0.07507507507507792,-2.0270270270270325
2004-06-29,16:00:00,396.8,397.6,390.3,391.5,1281,399.6,396.8,BEARISH_LONDON_BREAKOUT,0,1,0.15325670498084873,0.1277139208173691,0.45977011494253167
2004-06-30,12:00:00,393.1,394.3,392.5,393.3,292,393.1,391.1,BULLISH_LONDON_BREAKOUT,1,0,0.0,0.25425883549453343,0.20340706839562964
2004-07-01,16:00:00,394.3,395.3,392.6,395.0,913,394.3,392.5,BULLISH_LONDON_BREAKOUT,1,0,0.0,-0.10126582278480437,0.5316455696202589
2004-07-02,12:00:00,394.0,399.8,391.3,397.8,446,394.8,393.8,BULLISH_LONDON_BREAKOUT,1,0,-0.1759678230266437,0.07541478129713709,-1.3071895424836573
2004-07-06,16:00:00,398.3,398.3,388.5,391.8,711,398.8,397.8,BEARISH_LONDON_BREAKOUT,0,1,0.20418580908627143,0.7146503318019426,2.6033690658499204
2004-07-07,12:00:00,396.3,398.3,396.1,397.8,162,396.3,394.3,BULLISH_LONDON_BREAKOUT,1,0,1.0558069381598765,0.703871292106589,1.6339869281045754
2004-07-08,12:00:00,401.3,404.8,401.3,404.3,210,401.6,399.3,BULLISH_LONDON_BREAKOUT,1,0,0.9151620084095939,0.7420232500618353,0.5688844917140765
2004-07-09,12:00:00,405.6,407.8,405.6,406.6,185,406.3,405.0,BULLISH_LONDON_BREAKOUT,1,0,0.1721593703885855,0.049188391539593854,0.0
2004-07-12,12:00:00,408.3,408.3,405.8,406.6,157,408.3,406.8,BEARISH_LONDON_BREAKOUT,0,1,-0.12297097884899162,-0.24594195769798324,-1.1805213969503225
2004-07-13,12:00:00,404.3,404.3,400.6,401.8,214,404.8,403.1,BEARISH_LONDON_BREAKOUT,0,1,-0.24888003982080636,0.049776007964158445,0.8213041314086638
2004-07-14,12:00:00,403.3,405.8,402.0,405.1,196,404.1,401.8,BULLISH_LONDON_BREAKOUT,1,0,-0.24685262898049865,-0.4443347321649004,-0.19748210318440168
2004-07-15,12:00:00,402.8,404.6,402.8,404.3,182,403.5,401.3,BULLISH_LONDON_BREAKOUT,1,0,-0.12367054167697253,-0.5688844917140765,0.12367054167697253
2004-07-16,16:00:00,404.5,407.1,404.3,406.6,406,404.8,403.3,BULLISH_LONDON_BREAKOUT,1,0,-0.12297097884899162,-0.02459419576980392,-0.3689129365469749
2004-07-19,12:00:00,406.6,407.3,404.3,404.3,164,407.5,406.3,BEARISH_LONDON_BREAKOUT,0,1,0.1978728666831589,0.32154340836013146,-0.6183527083848627
2004-07-20,12:00:00,405.8,405.8,401.6,401.8,149,406.1,405.1,BEARISH_LONDON_BREAKOUT,0,1,-0.5724240915878575,-0.12444001991040318,-1.045296167247384
2004-07-21,12:00:00,400.8,400.8,397.1,397.6,276,401.3,400.0,BEARISH_LONDON_BREAKOUT,0,1,-0.5281690140845128,-0.4527162977867231,-0.12575452716297786
2004-07-22,12:00:00,394.1,397.3,394.1,397.1,298,396.8,394.1,BULLISH_LONDON_BREAKOUT,1,0,-0.5288340468395927,-0.7051120624527855,-1.7124150088139036
2004-07-23,12:00:00,391.8,393.1,389.1,390.3,318,394.3,392.6,BEARISH_LONDON_BREAKOUT,0,1,-0.25621316935690497,0.0,0.17934921854983055
2004-07-26,16:00:00,390.8,390.8,388.6,389.1,1023,391.8,390.6,BEARISH_LONDON_BREAKOUT,0,1,0.23130300693908434,0.5140066820868672,-0.5397070161912163
2004-07-27,16:00:00,391.1,391.3,385.1,387.0,2112,392.6,390.3,BEARISH_LONDON_BREAKOUT,0,1,-0.23255813953487786,0.15503875968992836,0.3875968992248062
2004-07-29,12:00:00,389.0,389.3,385.3,387.3,249,390.8,388.6,BEARISH_LONDON_BREAKOUT,0,1,-0.05163955589981632,-0.05163955589981632,0.7229537825974726
2004-07-30,12:00:00,389.1,391.8,388.0,390.1,852,389.3,387.6,BULLISH_LONDON_BREAKOUT,1,0,-0.205075621635481,0.5126890540886951,0.3845167905665214
2004-08-02,16:00:00,391.1,392.0,390.3,391.1,944,393.6,391.6,BEARISH_LONDON_BREAKOUT,0,1,0.0,-0.12784454103809767,0.5113781641523907
2004-08-03,12:00:00,389.6,390.3,388.1,389.1,615,391.3,389.5,BEARISH_LONDON_BREAKOUT,0,1,1.0280133641737343,1.079414032382418,0.2570033410434336
2004-08-03,16:00:00,388.8,393.6,388.6,393.1,1786,391.3,389.5,BULLISH_LONDON_BREAKOUT,1,1,0.0,-0.20351055711015295,-0.3307046553039968
2004-08-04,12:00:00,392.0,393.0,389.8,390.1,662,392.8,391.6,BEARISH_LONDON_BREAKOUT,0,1,0.43578569597538797,0.4870546013842546,0.1794411689310404
2004-08-05,12:00:00,392.0,392.0,390.3,390.8,479,393.0,391.6,BEARISH_LONDON_BREAKOUT,0,1,0.12794268167860798,0.12794268167860798,0.12794268167860798
2004-08-06,16:00:00,399.6,400.0,397.6,399.3,1303,392.1,391.0,BULLISH_LONDON_BREAKOUT,1,0,-0.12521913348359628,-0.25043826696719257,0.0
2004-08-09,16:00:00,398.3,399.8,397.8,399.3,721,398.6,397.6,BULLISH_LONDON_BREAKOUT,1,0,0.07513148009016062,-0.17530678687703197,0.0
2004-08-11,16:00:00,396.0,396.5,392.3,393.8,816,396.6,395.3,BEARISH_LONDON_BREAKOUT,0,1,0.2031488065007647,0.5078720162519045,0.0
2004-08-12,16:00:00,395.6,396.0,393.0,393.8,927,396.1,394.8,BEARISH_LONDON_BREAKOUT,0,1,-0.12696800406297612,0.0,1.0919248349415978
2004-08-13,12:00:00,392.0,396.1,391.8,395.8,437,393.8,391.8,BULLISH_LONDON_BREAKOUT,1,0,0.5811015664477037,1.010611419909045,1.6422435573521978
2004-08-16,12:00:00,399.1,403.1,397.6,402.3,478,400.6,398.8,BULLISH_LONDON_BREAKOUT,1,0,0.0,-0.12428535918468804,-0.37285607755406414
2004-08-17,16:00:00,400.6,404.8,399.6,404.3,458,402.3,400.6,BULLISH_LONDON_BREAKOUT,1,0,0.07420232500618633,-0.37101162503091767,-0.29680930002473127
2004-08-18,20:00:00,403.3,404.8,403.1,404.1,128,403.1,402.1,BULLISH_LONDON_BREAKOUT,1,0,-0.07423904974016612,0.1732244493937116,0.4949269982677555
2004-08-19,12:00:00,405.1,407.1,404.8,406.5,578,405.3,403.1,BULLISH_LONDON_BREAKOUT,1,0,-0.04920049200491726,-0.09840098400983452,0.3198031980319831
2004-08-20,12:00:00,405.8,408.1,404.6,407.8,398,407.3,405.6,BULLISH_LONDON_BREAKOUT,1,0,1.152525747915642,0.8582638548307995,0.4904364884747425
2004-08-23,16:00:00,409.8,410.8,407.8,409.6,1126,411.2,409.8,BEARISH_LONDON_BREAKOUT,0,1,-0.07324218750000278,-0.7568359375000056,-1.7822265625000027
2004-08-24,16:00:00,405.8,406.8,402.3,402.3,659,406.8,405.1,BEARISH_LONDON_BREAKOUT,0,1,-0.17399950285856045,0.37285607755406414,1.193139448173008
2004-08-25,16:00:00,404.8,407.6,404.6,407.1,1427,405.3,403.6,BULLISH_LONDON_BREAKOUT,1,0,-0.07369196757553706,-0.3684598378776713,-0.24563989191844754
