trade_date,trade_time,open,high,low,close,volume,ny_high,ny_low,signal,bullish_count,bearish_count,forward_1,forward_3,forward_6
2004-06-17,20:00:00,387.1,389.3,387.1,388.3,118,387.6,384.3,BULLISH_NEWYORK_BREAKOUT,1,0,-0.18027298480555978,-0.12876641771825906,1.545197012619109
2004-06-24,20:00:00,401.1,402.8,400.8,402.3,135,401.3,398.8,BULLISH_NEWYORK_BREAKOUT,1,0,-0.24857071836937608,-0.24857071836937608,-0.29828486204324844
2004-06-30,20:00:00,393.5,393.8,391.3,391.6,287,396.3,392.8,BEARISH_NEWYORK_BREAKOUT,0,1,0.6894790602655742,0.38304392236976503,0.868232890704795
2004-07-22,20:00:00,395.5,395.6,392.8,394.6,331,397.8,395.0,BEARISH_NEWYORK_BREAKOUT,0,1,-0.07602635580334804,-0.3801317790167258,-1.3431322858591006
2004-08-18,20:00:00,403.3,404.8,403.1,404.1,128,403.3,401.1,BULLISH_NEWYORK_BREAKOUT,1,0,-0.07423904974016612,0.1732244493937116,0.4949269982677555
2004-08-24,20:00:00,402.5,402.8,401.6,401.6,200,406.8,402.3,BEARISH_NEWYORK_BREAKOUT,0,1,0.24900398406374502,0.7968127490039812,1.2948207171314712
2004-10-01,20:00:00,417.8,419.2,417.8,419.0,67,418.3,416.3,BULLISH_NEWYORK_BREAKOUT,1,0,-0.16706443914080873,-0.5966587112171837,-1.2887828162291115
2004-10-13,20:00:00,411.6,416.1,411.3,415.8,233,412.3,409.8,BULLISH_NEWYORK_BREAKOUT,1,0,-0.36075036075036077,-0.40885040885040613,0.36075036075036077
2004-10-18,20:00:00,416.8,416.8,415.8,415.8,118,419.8,416.3,BEARISH_NEWYORK_BREAKOUT,0,1,-0.28860028860028586,-0.1683501683501656,0.8417508417508417
2004-10-29,20:00:00,426.3,428.3,426.1,428.1,438,426.6,423.8,BULLISH_NEWYORK_BREAKOUT,1,0,0.28030833917308773,-0.07007708479327525,-0.37374445223079245
2004-11-03,20:00:00,422.8,426.8,422.5,426.6,203,425.0,421.8,BULLISH_NEWYORK_BREAKOUT,1,0,0.35161744022503516,-0.2344116268166901,0.5157055789967155
2004-11-22,20:00:00,447.7,448.5,447.2,448.3,230,447.8,445.7,BULLISH_NEWYORK_BREAKOUT,1,0,-0.1115324559446799,-0.5576622797233994,-0.3345973678340397
2004-11-29,20:00:00,452.8,454.3,452.7,453.3,297,453.2,449.0,BULLISH_NEWYORK_BREAKOUT,1,0,-0.37502757555702376,-0.46326935804103747,-0.6618133686300464
2004-12-07,20:00:00,451.7,452.3,449.8,450.5,379,454.6,451.0,BEARISH_NEWYORK_BREAKOUT,0,1,-0.15538290788013068,-1.2874583795782488,-2.530521642619307
2004-12-16,20:00:00,438.3,438.8,435.1,436.6,496,441.7,437.3,BEARISH_NEWYORK_BREAKOUT,0,1,0.2748511223087468,0.5038937242327046,1.0077874484654092
2004-12-17,20:00:00,438.8,441.5,438.7,441.0,350,439.1,436.8,BULLISH_NEWYORK_BREAKOUT,1,0,-0.04535147392289992,0.06802721088435632,0.3628117913832251
2004-12-22,20:00:00,440.2,440.2,438.3,439.6,169,442.1,439.7,BEARISH_NEWYORK_BREAKOUT,0,1,-0.06824385805277784,0.3867151956323905,0.5004549590536825
2005-01-13,20:00:00,424.2,425.1,423.8,424.8,221,424.6,422.7,BULLISH_NEWYORK_BREAKOUT,1,0,-0.18832391713747915,-1.059322033898305,-0.5178907721280576
2005-01-19,20:00:00,423.0,423.2,421.5,422.0,406,426.6,422.8,BEARISH_NEWYORK_BREAKOUT,0,1,0.04739336492890726,-0.04739336492890726,0.0
2005-01-21,20:00:00,425.6,427.8,425.3,426.7,723,425.7,422.2,BULLISH_NEWYORK_BREAKOUT,1,0,0.0234356690883578,0.11717834544176235,0.07030700726506008
2005-02-09,20:00:00,411.8,413.1,411.7,412.7,278,412.5,409.8,BULLISH_NEWYORK_BREAKOUT,1,0,0.21807608432276088,0.2665374363944809,1.16307244972135
2005-02-14,20:00:00,424.2,425.8,423.8,425.2,424,425.1,422.1,BULLISH_NEWYORK_BREAKOUT,1,0,-0.32925682031984416,-0.32925682031984416,0.023518344308566027
2005-02-16,20:00:00,423.7,425.3,423.3,425.0,295,424.8,421.6,BULLISH_NEWYORK_BREAKOUT,1,0,-0.09411764705881817,0.0,0.4705882352941176
2005-02-22,20:00:00,433.5,435.2,433.0,435.1,349,434.6,431.0,BULLISH_NEWYORK_BREAKOUT,1,0,-0.41369800045966704,-0.4826476672029471,-0.22983222247759133
2005-03-02,20:00:00,431.8,433.2,431.6,432.5,117,432.0,428.8,BULLISH_NEWYORK_BREAKOUT,1,0,-0.046242774566471356,-0.046242774566471356,-0.6473988439306385
2005-03-08,20:00:00,438.1,440.3,437.7,439.8,174,438.8,434.8,BULLISH_NEWYORK_BREAKOUT,1,0,-0.15916325602546355,-0.11368804001819009,0.11368804001819009
2005-03-22,20:00:00,431.1,431.6,425.8,426.8,422,432.1,430.1,BEARISH_NEWYORK_BREAKOUT,0,1,-0.11715089034676662,0.0,-0.5857544517338332
2005-04-07,20:00:00,426.1,426.5,424.8,424.8,258,428.0,425.8,BEARISH_NEWYORK_BREAKOUT,0,1,0.0,-0.11770244821092278,0.30602636534840194
2005-04-11,20:00:00,427.8,428.5,426.8,427.1,218,429.3,427.2,BEARISH_NEWYORK_BREAKOUT,0,1,0.21072348396159618,0.35120580660266915,0.14048232264105967
2005-04-19,20:00:00,432.8,433.5,431.8,433.5,284,433.0,426.7,BULLISH_NEWYORK_BREAKOUT,1,0,-0.2768166089965372,-0.3921568627450954,0.023068050749716896
2005-05-10,20:00:00,427.1,427.2,425.3,425.7,149,427.5,426.1,BEARISH_NEWYORK_BREAKOUT,0,1,0.14094432699084397,0.3758515386422417,0.23490721165139772
2005-05-17,20:00:00,420.1,420.5,417.7,417.8,267,420.8,418.8,BEARISH_NEWYORK_BREAKOUT,0,1,0.11967448539971279,0.23934897079942558,0.7180469123982767
